"code","year","distribution","treatment","dalys_averted","doses","inc_class","gdp_per_capita","daly","dalys_averted_country","dalys_monetized","doses_country","name","region","sub_region","mode_region_t","mini_t_price_region","maxi_t_price_region","mode_sub_region_t","mini_t_price_sub_region","maxi_t_price_sub_region","mode_country_t","mini_t_price_country","maxi_t_price_country","mode_region_rdt","mini_rdt_price_region","maxi_rdt_price_region","mode_sub_region_rdt","mini_rdt_price_sub_region","maxi_rdt_price_sub_region","mode_country_rdt","mini_rdt_price_country","maxi_rdt_price_country","avg_model_pred","avg_mean_sample","avg_high_95","avg_low_95","avg_sd"
"AGO",2016,0.0261011743644497,"RAS",59131.2570321322,69862,"LM",6843.735897,4028.86449326658,1543.39525018478,6218130.32254574,1823.48024344919,"Angola","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.911146374132893,0.242972366435438,0.987075238643968,0.273343912239868,0.242972366435438,0.987075238643968,0.987075238643968,0.911146374132893,0.987075238643968,16.9475883114043,17.0878165834845,49.4204496031141,3.4055437505186,13.3016532373197
"AGO",2017,0.0293284215689919,"RAS",286582.86791832,338590,"LM",6992.728834,4028.86449326658,8405.02316475921,33862699.3935815,9930.31025904498,"Angola","Africa","Sub-Saharan Africa",0.480472906132627,0.480472906132627,0.481200895384343,0.480472906132627,0.480472906132627,0.481200895384343,0.480472906132627,0.480472906132627,0.481200895384343,0.254796238100635,0.0131038065308898,0.951045158441915,0.254796238100635,0.0131038065308898,0.951045158441915,0.254796238100635,0.0131038065308898,0.951045158441915,16.9475883114043,17.0878165834845,49.4204496031141,3.4055437505186,13.3016532373197
"AGO",2018,0.0326835168153655,"RAS",561876.441137166,663842,"LM",7347.799936,4028.86449326658,18364.0981120643,73986462.8345597,21696.6911697459,"Angola","Africa","Sub-Saharan Africa",0.435987956136578,0.435987956136578,0.435987956136578,0.435987956136578,0.435987956136578,0.435987956136578,0.435987956136578,0.435987956136578,0.435987956136578,0.207613312445989,0.180208355203119,1.85024984051866,0.207613312445989,0.180208355203119,0.96886212474795,0.96886212474795,0.830453249783957,0.96886212474795,16.9475883114043,17.0878165834845,49.4204496031141,3.4055437505186,13.3016532373197
"AGO",2019,0.0347588103023691,"RAS",1299570.65496539,1535408,"LM",7528.382418,4028.86449326658,45171.5298704675,181989972.801657,53368.9554087399,"Angola","Africa","Sub-Saharan Africa",0.426313959096023,0.413196606508453,0.478783369446303,0.426313959096023,0.413196606508453,0.478783369446303,0.426313959096023,0.413196606508453,0.478783369446303,0.288581756926539,0.010493882070056,0.787041155254196,0.288581756926539,0.010493882070056,0.787041155254196,0.288581756926539,0.288581756926539,0.288581756926539,16.9475883114043,17.0878165834845,49.4204496031141,3.4055437505186,13.3016532373197
"AGO",2020,0.0342368730462038,"RAS",972876.850189368,1149428,"LM",6450.749946,4028.86449326658,33308.261209524,134194470.9195,39352.8205117519,"Angola","Africa","Sub-Saharan Africa",0.394021260902951,0.394021260902951,0.450310012460516,0.394021260902951,0.394021260902951,0.450310012460516,0.394021260902951,0.394021260902951,0.450310012460516,0.187629171858548,0.0100068891657892,6.84846477283701,0.187629171858548,0.0100068891657892,6.84846477283701,0.187629171858548,0.187629171858548,0.262680840601968,16.9475883114043,17.0878165834845,49.4204496031141,3.4055437505186,13.3016532373197
"AGO",2021,0.0357303714942566,"RAS",3303817.42612619,3903372,"LM",7408.126591,4028.86449326658,118046.623984687,475593851.921898,139468.931640279,"Angola","Africa","Sub-Saharan Africa",0.37788340280478,0.365887104303041,0.389879701306519,0.37788340280478,0.365887104303041,0.389879701306519,0.37788340280478,0.37788340280478,0.37788340280478,0.179944477526086,0.179944477526086,1.00768907414608,0.179944477526086,0.179944477526086,1.00768907414608,0.563826029581735,0.563826029581735,0.563826029581735,16.9475883114043,17.0878165834845,49.4204496031141,3.4055437505186,13.3016532373197
"AGO",2022,0.0350087019532341,"RAS",1446791.92812755,1709346,"LM",7924.888806,4028.86449326658,50650.3074001624,204063225.057552,59841.9846489529,"Angola","Africa","Sub-Saharan Africa",0.350415084017681,0.339290795636167,0.73976517737066,0.350415084017681,0.339290795636167,0.73976517737066,0.73976517737066,0.73976517737066,0.73976517737066,0.278107209537842,0.0355977228208438,14.7396821055056,0.278107209537842,0.0355977228208438,0.72307874479839,0.33372865144541,0.33372865144541,0.33372865144541,16.9475883114043,17.0878165834845,49.4204496031141,3.4055437505186,13.3016532373197
"AGO",2023,0.0328865548769574,"RAS",888720.905266652,1050000,"LM",8040.70245,4028.86449326658,29226.968821351,117751496.93015,34530.8826208052,"Angola","Africa","Sub-Saharan Africa",0.35,0.305,0.35,0.35,0.305,0.35,0.35,0.35,0.35,0.2,0.2,7.12,0.2,0.2,7.12,0.2,0.2,7.12,16.9475883114043,17.0878165834845,49.4204496031141,3.4055437505186,13.3016532373197
"BEN",2016,0.0228782849922597,"RAS",59131.2570321322,69862,"L",2842.024626,4028.86449326658,1352.82175033168,5450335.51563005,1598.32274612925,"Benin","Africa","Sub-Saharan Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.911146374132893,0.242972366435438,0.987075238643968,0.273343912239868,0.242972366435438,0.987075238643968,0.273343912239868,0.242972366435438,0.987075238643968,5.38877216993826,5.12834823607507,15.4050773185224,1.16189139723576,3.98648944913648
"BEN",2017,0.0224675012138202,"RAS",286582.86791832,338590,"L",2885.89384,4028.86449326658,6438.80093281491,25941056.4574297,7607.27123598737,"Benin","Africa","Sub-Saharan Africa",0.480472906132627,0.480472906132627,0.481200895384343,0.480472906132627,0.480472906132627,0.481200895384343,0.480472906132627,0.480472906132627,0.481200895384343,0.254796238100635,0.0131038065308898,0.951045158441915,0.254796238100635,0.0131038065308898,0.951045158441915,0.254796238100635,0.0131038065308898,0.951045158441915,5.38877216993826,5.12834823607507,15.4050773185224,1.16189139723576,3.98648944913648
