code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21732.85831,23099.94009,23889.04502,24575.66066,25791.04318,26254.7428,26004.49563,27240.80279,27412.75519,27765.65326,30245.70697,31920.23907,31888.50874,32507.08431,35059.2731,35098.79767,35937.59465,37768.56601,38904.99925,34339.93916,33729.51191,35324.07206,34095.64717,35901.65331,35657.2872,35972.86644,36117.50821,37524.92848,39287.01952,39110.27619,28976.46355,35696.30937,41649.45079,44967.34451
AFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1804.850022,1817.90464,1775.857707,1766.044942,1788.169958,1858.435848,1944.803372,2011.694272,2019.400066,2052.05669,2116.239445,2186.629809,2249.041461,2308.117904,2438.899261,2602.005679,2785.791865,2971.974918,3082.151418,3041.088819,3149.019598,3253.723505,3171.570276,3290.8443,3426.575818,3456.365448,3551.069323,3703.886605,3648.310911,3742.848955,3629.508004,3907.951637,4229.6821,4374.229532
AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813.550256,747.6880455,926.507941,966.962032,971.6335031,1076.087353,1121.834471,1286.949843,1333.747267,1570.698145,1765.538028,1744.060623,1988.429304,2133.241271,2224.490748,2284.075848,2213.181441,2335.795862,2432.276701,2583.485332,2561.981761,2144.16657,2122.995815,2211.280635
AFW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1727.098432,1759.835695,1791.207291,1764.645159,1753.347098,1778.288639,1844.818905,1908.391054,1946.771876,1953.486429,2016.091791,2108.607718,2278.462262,2383.607456,2567.075465,2722.787113,2873.342123,3024.431343,3185.418787,3305.684207,3477.319749,3620.649511,3735.925373,3899.645897,4103.765604,4052.733797,3996.864267,4063.18505,4198.081042,4454.156038,4441.937338,4698.926894,5107.272939,5343.468529
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3340.598482,3372.596969,3143.44061,2369.241832,2374.020821,2695.805985,3013.332813,3178.494802,3254.244475,3262.975529,3326.779914,3427.853949,3824.284804,3878.507955,4262.906013,4876.287684,5404.38383,6095.999267,6651.377741,6498.169282,6607.022197,6711.390257,7354.942966,7561.039205,7990.274457,7119.726443,6843.735897,6992.728834,7347.799936,7528.382418,6450.749946,7408.126591,7924.888806,8040.70245
ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2549.249861,1908.947957,1823.148093,2057.290576,2289.692042,2665.550358,2979.818652,2717.137838,3021.030931,3471.661511,3861.304136,4300.812341,4661.392818,5000.343295,5427.874773,5865.305637,6566.535154,7285.027314,8228.342268,8812.75595,9627.088652,10207.74553,10526.26437,10570.98001,11259.25596,11662.00578,12078.82772,12771.00379,13696.84275,14792.26189,14512.05378,16113.13652,19429.92132,21208.21003
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24908.87094,24510.24608,23816.84047,22958.32578,23509.45998,24934.38277,26541.58145,29121.60371,30072.72727,31589.95824,33458.11816,36895.44024,38787.05225,41147.8807,42717.23777,44577.81933,46852.65839,47501.43093,44838.995,42522.99456,43853.17124,46436.11586,45503.04448,45609.23072,48505.60174,50733.239,53110.14263,53084.86396,55244.65541,57475.06928,52095.8414,59332.20291,68470.07595,71730.66868
ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6796.211335,7112.915266,7541.085242,7745.069182,7925.42264,8091.141694,8420.643647,8813.052862,9149.123107,9339.164699,9926.76326,10119.32243,10133.99979,10448.04464,11465.49623,12179.49851,12993.10107,13591.60809,14261.56539,14088.22952,14651.31944,15180.31596,16008.8457,15901.77453,15654.45061,14148.13669,13685.3401,14286.47829,15319.0197,15452.54175,14132.44433,15534.5238,17198.65584,17634.81561
ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86949.00941,85764.62679,86019.08202,84860.30939,88427.2849,92106.95545,93008.57037,94374.18988,88693.03068,86165.45271,91317.62837,88831.57661,86960.31675,91058.66907,96981.59079,99576.61687,104995.3979,99096.70545,93017.09065,83336.81974,83670.90938,87709.04441,87339.68766,85514.80243,85248.15473,71720.30845,67702.14739,68043.23121,75071.18005,76884.9469,65352.83442,67401.1213,73777.74439,76110.38485
ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7158.308491,7960.97844,8667.852804,9472.445099,10103.02974,9890.924709,10495.83925,11403.48079,11835.67699,11463.85331,11499.9828,11117.75492,9953.464929,10933.39255,12117.67974,13464.81285,14843.57787,16455.11298,17276.75709,16182.07535,17847.61104,19104.99094,19430.41781,19928.98949,19487.41817,19899.14993,20105.76136,23385.07409,24410.39191,23516.8262,22393.34796,26300.27426,29597.69384,30082.30452
