"country","year","population_denominator","cases_lower","cases_point","cases_upper","deaths_lower","deaths_point","deaths_upper","distribution"
"Nigeria",2023,227882945,"49140000",68136453,"92560000","135000",184689,"264000",0.259167776631178
"Democratic Republic of the Congo",2023,105789731,"24830000",33140568,"43540000","43200",67464,"110000",0.126055392476247
"Uganda",2023,48656601,"8278000",12572518,"19760000","13800",15945,"19300",0.0478215609009683
"Ethiopia",2023,87510350,"5298000",9559569,"14290000","6800",18567,"35900",0.0363613327990867
"Mozambique",2023,33635160,"7225000",9256415,"11730000","12400",17875,"27300",0.035208238607981
"United Republic of Tanzania",2023,66617606,"6017000",8554792,"11810000","24000",25540,"27500",0.0325395045465925
"Angola",2023,36749906,"4855000",8251449,"13010000","11200",16169,"25300",0.0313856914640913
"Mali",2023,23769127,"5808000",8229337,"11700000","11200",14203,"18300",0.031301584974473
"Burkina Faso",2023,23025776,"5382000",8139355,"11700000","11300",16146,"24000",0.0309593242043559
"Niger",2023,26159867,"4603000",7982516,"12960000","28500",35381,"44500",0.0303627622594737
"Côte d’Ivoire",2023,31165654,"5301000",7835921,"11240000","9200",10771,"12700",0.0298051649889605
"Cameroon",2023,28372687,"5284000",7343057,"10010000","9710",11602,"14300",0.0279304788050239
"Ghana",2023,33787914,"4728000",6551533,"8786000","10800",11464,"12400",0.0249197920698307
"Madagascar",2023,31195932,"3973000",6239943,"8662000","6200",15974,"29900",0.0237346102183406
"Benin",2023,14111034,"3224000",5127891,"7722000","7840",9928,"12700",0.0195047445348678
"Malawi",2023,21104482,"2979000",4810053,"7481000","6350",7376,"9200",0.0182957974270854
"Guinea",2023,14405468,"2716000",4433772,"6793000","8420",10188,"12600",0.0168645531244424
"Pakistan",2023,243324144,"3410000",4284621,"5755000","2520",4956,"8290",0.0162972337036278
"Chad",2023,19107520,"2356000",3946418,"6198000","10400",13707,"18900",0.0150108250970631
"Zambia",2023,20723965,"2339000",3662799,"5571000","7580",8525,"10100",0.0139320353684525
"Sudan",2023,50042790,"1712000",3406260,"6227000","2780",7974,"17300",0.0129562487032854
"Burundi",2023,13689449,"1627000",3354726,"6270000","5100",6302,"8350",0.0127602309827722
"Kenya",2023,55339002,"1628000",3294221,"5964000","11100",11478,"11900",0.0125300906447498
"South Sudan",2023,11483374,"1871000",2907170,"4332000","3640",6671,"13700",0.0110578809435364
"Sierra Leone",2023,8460512,"1309000",2479839,"4283000","5310",6635,"8360",0.00943245989093801
"Togo",2023,9304337,"1357000",2143070,"3219000","2870",3456,"4260",0.00815150573019963
"India",2023,1343732230,"1621000",2037519,"2729000","1650",3461,"5830",0.0077500258059189
"Central African Republic",2023,5152420,"963000",1574284,"2417000","3900",5052,"6560",0.00598803821011987
"Papua New Guinea",2023,10389635,"1060000",1529373,"2038000","1300",3080,"5460",0.00581721211771552
"Congo",2023,6182885,"842000",1327964,"1999000","1970",2244,"2810",0.00505112112786742
"Senegal",2023,18077573,"698000",1199388,"1918000","1170",3070,"6220",0.00456206197405249
"Indonesia",2023,281190066,"1004000",1089788,"1198000","940",1876,"2860",0.00414518103781155
"Somalia",2023,18358615,"662000",1081187,"1679000","1030",2611,"5180",0.0041124657738279
"Liberia",2023,5493031,"614000",1026103,"1600000","2840",3541,"4690",0.00390294506678505
"Yemen",2023,25353517,"609000",985137,"1521000","980",2474,"4830",0.00374712440589046
"Myanmar",2023,47164005,"508000",847261,"3454000","280",660,"2870",0.0032226912310259
"Rwanda",2023,13954471,"584000",748570,"923000","3130",3349,"3780",0.002847304401842
"Zimbabwe",2023,12867204,"381000",635589,"914000","600",1627,"3100",0.00241756329730333
"Gabon",2023,2484788,"307000",569819,"975000","370",433,"540",0.00216739669897699
"Afghanistan",2023,32006328,"326000",424307,"539000","88",202,"340",0.00161391879026995
"Equatorial Guinea",2023,1847549,"253000",422756,"658000","640",757,"970",0.00160801931643683
"Gambia",2023,2697845,"183000",236079,"295000","590",632,"690",0.0008979638188579
"Guinea-Bissau",2023,2153339,"72000",223937,"549000","750",885,"1100",0.000851779801268141
"Eritrea",2023,3470389,"141000",219981,"306000","190",459,"840",0.000836732529518422
"Mauritania",2023,5022441,"77000",192584,"357000","140",493,"1130",0.000732523706432719
"Solomon Islands",2023,792005,"163000",187733,"221000","120",245,"380",0.000714072160614244
"Brazil",2023,42861567,"146000",163461,"177000","-",73,"-",0.000621749769332855
"Venezuela (Bolivarian Republic of)",2023,14150427,"120000",134811,"156000","61",118,"180",0.000512774962550893
"Colombia",2023,11583379,"93000",122467,"153000","-",22,"-",0.000465822606009304
"Djibouti",2023,864614,"-",38944,"-","38",80,"120",0.000148129664059921
"Guyana",2023,826353,"30000",35255,"41000","22",42,"67",0.000134097969043563
"Peru",2023,13293204,"24000",29089,"35000","9",20,"32",0.000110644612721832
"Haiti",2023,10397084,"16000",23824,"32000","24",60,"110",0.000090618352417922
"Comoros",2023,850387,"-",21049,"-","25",53,"82",0.00008006320097569
"Bangladesh",2023,18479042,"17000",20376,"24000","15",31,"49",0.0000775033390223127
"Namibia",2023,2351956,"15000",19376,"24000","-",23,"-",0.0000736996808449319
"Philippines",2023,66681282,"11000",15505,"21000","14",33,"61",0.0000589757200402905
"Bolivia (Plurinational State of)",2023,5554807,"11000",13940,"17000","3",7,"13",0.0000530229949926894
"Panama",2023,2987368,"-",9485,"-","-",0,"-",0.0000360776978124576
"Thailand",2023,13606254,"-",9169,"-","-",5,"-",0.0000348757418284053
"Nicaragua",2023,6004779,"7100",8505,"10000","-",0,"-",0.0000323501127986244
"Cambodia",2023,12395095,"5200",6012,"7100","0",2,"4",0.0000228675929624138
"Vanuatu",2023,320408,"3500",5748,"9100","-",0,"-",0.0000218634272035853
"South Africa",2023,6321238,"-",5291,"-","-",64,"-",0.0000201251554165222
"Democratic People’s Republic of Korea",2023,10327765,"-",3160,"-","-",0,"-",0.0000120195598405236
"Guatemala",2023,13682802,"-",3046,"-","-",0,"-",0.0000115859428083021
"Honduras",2023,9642106,"-",2589,"-","-",0,"-",0.00000984767102123909
"Iran (Islamic Republic of)",2023,925114,"-",2528,"-","-",0,"-",0.00000961564787241885
"Sao Tome and Principe",2023,230871,"-",2348,"-","-",0,"-",0.0000089309894004903
"Lao People’s Democratic Republic",2023,3988371,"830",1143,"1500","-",0,"-",0.00000434758129674634
"Botswana",2023,1644352,"590",778,"1100","-",4,"-",0.00000295924606200232
"Republic of Korea",2023,3622411,"-",662,"-","-",0,"-",0.00000251802171342614
"Ecuador",2023,10189313,"-",604,"-","-",0,"-",0.00000229740953913805
"Eswatini",2023,344541,"-",597,"-","-",7,"-",0.00000227078393189638
"Costa Rica",2023,1786933,"-",543,"-","-",0,"-",0.00000206538639031782
"Viet Nam",2023,73958461,"-",373,"-","-",0,"-",0.00000141876450016307
"Dominican Republic",2023,6241487,"-",253,"-","-",0,"-",0.000000962325518877362
"French Guiana",2023,167866,"-",189,"-","-",0,"-",0.000000718891395524986
"Mexico",2023,2750482,"-",42,"-","-",0,"-",0.000000159753643449997
"Nepal",2023,8623746,"-",15,"-","-",0,"-",0.0000000570548726607131
"Algeria",2023,2711686,"-",0,"-","-",0,"-",0
"Cabo Verde",2023,135805,"-",0,"-","-",0,"-",0
"Argentina",2023,227692,"-",0,"-","-",0,"-",0
"Belize",2023,283662,"-",0,"-","-",0,"-",0
"El Salvador",2023,1280853,"-",0,"-","-",0,"-",0
"Paraguay",2023,246389,"-",0,"-","-",0,"-",0
"Suriname",2023,92886,"-",0,"-","-",0,"-",0
"Egypt",2023,114535771,"-",0,"-","-",0,"-",0
"Iraq",2023,5859626,"-",0,"-","-",0,"-",0
"Morocco",2023,37712505,"-",0,"-","-",0,"-",0
"Oman",2023,5049269,"-",0,"-","-",0,"-",0
"Saudi Arabia",2023,3566989,"-",0,"-","-",0,"-",0
"Syrian Arab Republic",2023,23594623,"-",0,"-","-",0,"-",0
"United Arab Emirates",2023,10642081,"-",0,"-","-",0,"-",0
"Armenia",2023,2943393,"-",0,"-","-",0,"-",0
"Azerbaijan",2023,237318,"-",0,"-","-",0,"-",0
"Georgia",2023,38074,"-",0,"-","-",0,"-",0
"Kazakhstan",2023,20330104,"-",0,"-","-",0,"-",0
"Kyrgyzstan",2023,5517342,"-",0,"-","-",0,"-",0
"Tajikistan",2023,3470192,"-",0,"-","-",0,"-",0
"Türkiye",2023,5672582,"-",0,"-","-",0,"-",0
"Turkmenistan",2023,478688,"-",0,"-","-",0,"-",0
"Uzbekistan",2023,35652,"-",0,"-","-",0,"-",0
"Bhutan",2023,581924,"-",0,"-","-",0,"-",0
"Sri Lanka",2023,5283471,"-",0,"-","-",0,"-",0
"Timor-Leste",2023,1301934,"-",0,"-","-",0,"-",0
"China",2023,594953470,"-",0,"-","-",0,"-",0
"Malaysia",2023,1405051,"-",0,"-","-",0,"-",0
