"ResponseId","income_group","metrics_section_answered","barriers_section_answered","questions_section_answered","evaluation_section_answered","confidence_section_answered","q1_group"
"R_1mV3FeHHnwDdU5P","UMIC",1,1,1,1,1,"University/Research institution"
"R_12mnMGMPUc5Uf1W","UMIC",1,1,1,1,1,"Other"
"R_2di4ZUqB3bbkuBw","HIC",1,NA,1,1,1,"Other"
"R_2PNbqfoEYIr14GJ","HIC",1,1,1,1,1,"University/Research institution"
"R_8A1lEuASKkVaFZe","HIC",1,1,1,1,1,"University/Research institution"
"R_4VDRAQf6hIQkpgf","HIC",NA,NA,NA,NA,NA,"Other"
"R_4fek4T9lzlGiIiJ","HIC",1,NA,NA,NA,NA,"Other"
"R_4FLTQ1NDPDT7Ky5","HIC",1,NA,1,1,1,"University/Research institution"
"R_8PweD5I3F81GUPe","HIC",1,NA,1,1,1,"Other"
"R_85UpLfa1iOagVjP","HIC",1,NA,1,1,1,"University/Research institution"
"R_2Ijyb5ElY1YKe6R","HIC",NA,NA,NA,NA,NA,"University/Research institution"
"R_2xLioC2WYBlygwj","LMIC",1,NA,1,1,1,"Other"
"R_8MiMGiOEH6ximww","LMIC",1,NA,1,1,1,"Other"
"R_1iewli4iczq2PLw","UMIC",1,1,1,1,1,"University/Research institution"
"R_2CxVTcOjdN6hfbf","LIC",1,1,1,1,1,"Other"
"R_5coUVN5n5FUV20u","HIC",1,NA,1,NA,NA,"University/Research institution"
"R_139IYXOBgw8j9v4","HIC",1,1,1,1,1,"University/Research institution"
"R_3z7eJi6MJyfLrMd","HIC",1,1,1,1,1,"Other"
"R_3lVtVSbRtavKRLm","HIC",1,1,1,1,1,"Other"
"R_2O1d8t20boOWasH","UMIC",1,1,1,1,1,"University/Research institution"
"R_2ltdoGXgrjtpZGe","LIC",1,1,1,1,1,"Other"
"R_2TQVsj7yKRrA9RI","LIC",1,NA,1,1,1,"University/Research institution"
"R_5GvQksA0t51QadP","LIC",NA,NA,NA,NA,NA,"Other"
"R_2YWFiax43mjBqh3","HIC",1,1,1,1,1,"University/Research institution"
"R_8Y5Hy7zfEEeUW8p","LIC",1,1,1,1,1,"Other"
"R_801VeqRYHh1QFE1","HIC",1,1,1,1,1,"University/Research institution"
"R_8gtoVf9JeLtuhRW","LMIC",1,1,1,1,1,"Other"
"R_2oL98ZOkMiftsVc","LMIC",1,1,1,1,1,"University/Research institution"
"R_4WGDL4t1KTGa3S1","LMIC",1,1,NA,1,1,"Other"
"R_4KRGZiaHSkDBJtf","UMIC",NA,NA,NA,NA,NA,"Other"
"R_2rAgXuHBQ0U6VKC","UMIC",1,1,1,1,1,"University/Research institution"
"R_8Xi6ZBGQ3WhiLsd","HIC",1,NA,1,1,1,"University/Research institution"
"R_8EZqYrKyjkwc3dO","LMIC",1,1,1,1,1,"Other"
"R_8MomPIBKbG7wUrA","LMIC",1,1,1,1,1,"University/Research institution"
"R_2e5qI2LB3ONBa8H","LMIC",NA,NA,NA,NA,NA,"Other"
"R_8XEBLaH8qlv8sU1","LMIC",1,NA,1,1,NA,"Other"
"R_8VCK0XnLXReFMOv","LMIC",1,1,NA,1,1,"Other"
"R_8PbICKAJcEx4hcI","LMIC",1,NA,1,1,1,"Other"
"R_8ZOUn2Ajvu6oHrX","LMIC",NA,NA,NA,NA,NA,"Other"
"R_2eWZYpk22nQL98z","LMIC",1,1,1,1,1,"Other"
"R_8N9SpatlT1NXMFc","LMIC",NA,NA,NA,NA,NA,"Other"
"R_8JzO3mCCE0d4iaJ","LMIC",1,1,1,1,1,"Other"
"R_2FwWphCNRI3vcTV","LMIC",1,1,1,1,1,"University/Research institution"
"R_8vDAHkuYfHkMc5b","LMIC",1,1,1,1,1,"University/Research institution"
"R_8reOYSWpt5EqsCy","LMIC",1,NA,1,1,1,"University/Research institution"
"R_2viwZV6s9Lvng20","LMIC",1,1,1,1,1,"Other"
"R_82psvgUPaVT6D7z","LMIC",1,NA,1,NA,NA,"Other"
"R_211HsTOCFMji0e0","LMIC",1,NA,1,1,1,"Other"
"R_2pQ2k3keS9cEVDm","LMIC",1,NA,1,1,1,"Other"
"R_2y8eWPUjDBTGY9Q","LMIC",1,1,1,1,1,"Other"
"R_8BuQXr0lLcPkPyV","LMIC",1,NA,NA,1,NA,"University/Research institution"
"R_2eOuVgzTLnKZ7iG","LMIC",1,1,1,1,1,"Other"
"R_8YlH36Gk4NM6rz0","LMIC",1,NA,NA,NA,NA,"Other"
"R_5aKP8nwpSf4FdlA","HIC",1,NA,NA,NA,NA,"University/Research institution"
"R_446rn4DGBAvNu81","HIC",1,1,1,1,1,"Other"
"R_2gCHEO31MJldzpb","LMIC",1,1,1,1,1,"University/Research institution"
"R_2QsfeLqruQOWt4J","LMIC",1,1,1,1,1,"Other"
"R_47VRutdYWpH2NwL","LMIC",1,1,1,1,1,"Other"
"R_2oiKyVD9zIV5PA7","LMIC",1,NA,1,1,1,"Other"
"R_8FRRpSgkBO47SLH","LIC",1,NA,1,1,1,"Other"
"R_823g7VxyEPXmDCC","LIC",1,NA,NA,NA,NA,"Other"
"R_8e4PCBaqt1XYOOK","LIC",1,NA,1,NA,NA,"Other"
"R_8hAwzL81cf2ztip","LIC",1,1,1,1,1,"Other"
"R_4HMKJw28cgtjgJQ","LMIC",NA,NA,NA,NA,NA,"Other"
"R_8eOWA4yrRjvxDNL","LMIC",1,1,1,1,1,"Other"
"R_21i8kALMTJllLey","LMIC",1,1,1,1,1,"Other"
"R_8ezTmAB97ZERiV3","LMIC",1,1,1,1,1,"University/Research institution"
"R_2GiDVRSkalPsRhG","LMIC",1,NA,1,1,1,"University/Research institution"
"R_2famE6MkQSWJJXr","LMIC",1,1,1,1,1,"University/Research institution"
"R_2MEfLYsIdnyT5Ii","LMIC",1,NA,NA,NA,NA,"University/Research institution"
"R_4bZNBg2LKBXdXB7","LMIC",1,NA,1,NA,NA,"Other"
"R_4TtVewKjWcRcCqd","LMIC",1,1,1,1,1,"Other"
"R_3IQnquZdNUOSSgP","LMIC",1,NA,NA,NA,NA,"University/Research institution"
"R_1k5iUmwftbYSHhP","LMIC",1,1,1,1,1,"University/Research institution"
"R_1jZ3nhmUaOo7gEm","UMIC",1,1,1,1,1,"Other"
"R_4qVgsf5oC3Th6ON","LMIC",1,NA,1,NA,NA,"University/Research institution"
"R_4r237Q8560zhNoV","LMIC",1,1,1,1,1,"University/Research institution"
"R_2VgPV8192huPhxZ","HIC",1,NA,1,1,1,"Other"
"R_2EcahU0ySRremGo","LMIC",1,NA,1,1,NA,"University/Research institution"
"R_43xqFgTzyyp4PzB","HIC",1,NA,1,NA,NA,"University/Research institution"
"R_46eF8o5RPGvB1El","HIC",1,NA,NA,NA,NA,"University/Research institution"
"R_29zq4w0bABGp6A9","LIC",1,1,1,1,1,"University/Research institution"
"R_8M5US77d3oGS9An","LIC",1,1,1,1,1,"Other"
"R_5GxsixOANMvYTPW","UMIC",1,1,1,1,1,"University/Research institution"
"R_8Eot4iGtoEcimbT","UMIC",1,NA,NA,NA,NA,"Other"
"R_8D6pDuz64HpfHx3","UMIC",1,1,1,1,1,"University/Research institution"
"R_2e9uwKjycgGRE9j","UMIC",1,1,1,1,1,"University/Research institution"
"R_25RunJ8t5IE0wJd","UMIC",1,NA,1,1,1,"University/Research institution"
"R_22Da8ArKLECfDBT","UMIC",1,NA,1,1,1,"University/Research institution"
"R_8s622NZZh2PRW4K","LIC",1,1,1,1,1,"University/Research institution"
"R_8vES1FJF12TvhCx","LIC",1,NA,NA,NA,NA,"University/Research institution"
"R_2zRinvPMgpMwpKF","HIC",1,1,1,1,1,"University/Research institution"
"R_6wRk0B7zsEYSFxy","LIC",NA,NA,NA,NA,NA,"Other"
"R_85DA1qtlB13y7Qt","LIC",1,1,1,1,1,"Other"
"R_8r2C9DCkRutmc3t","LMIC",1,1,1,1,1,"University/Research institution"
"R_4DTDa800Fb7p8W8","UMIC",1,1,1,1,1,"University/Research institution"
"R_8gMEk1ElxW0Ru2B","LMIC",1,1,1,1,1,"University/Research institution"
"R_4DApP5KtJYR3L1V","LMIC",1,NA,NA,NA,NA,"University/Research institution"
"R_2GjspXhPGTqLhrS","LIC",1,1,1,1,1,"University/Research institution"
"R_8UQmnwjnf9QXtaF","LIC",1,NA,1,1,1,"University/Research institution"
"R_2c6Svs9vGoHQyFb","LIC",1,NA,1,NA,NA,"University/Research institution"
"R_2nZO7TUnG4S7Jsw","LIC",1,NA,1,1,1,"Other"
"R_42uCJvIQkqJ06Rj","HIC",1,1,1,1,1,"University/Research institution"
"R_2DqeZTEJDrSe9Uz","HIC",1,1,1,1,1,"Other"
"R_8eEpKo9s7KNGZC1","HIC",1,1,1,1,1,"University/Research institution"
"R_2RqjGYkQNQsyJeM","HIC",1,1,1,1,1,"University/Research institution"
"R_2dcXilRLFAUAZmG","HIC",1,NA,1,1,1,"University/Research institution"
"R_2EXVkYREVjhGmzF","HIC",1,1,1,1,1,"Other"
"R_6IRcwYjpgvIRI1y","HIC",1,1,1,1,1,"Other"
"R_61mm0Z2niPPwTar","HIC",1,1,1,1,1,"University/Research institution"
"R_6feD0NiWrm8HFZC","HIC",1,1,1,1,1,"Other"
"R_59ptnuzpPSgp3Hm","HIC",1,NA,1,NA,NA,"Other"
"R_17Hb94jkHflWnd7","HIC",1,1,1,1,1,"University/Research institution"
"R_8PupIZuPpGmsd0N","LMIC",1,NA,NA,NA,NA,"Other"
"R_800s5p478Z2fejj","LMIC",1,1,1,1,1,"University/Research institution"
"R_8GCJyQI6zhTcy3F","LMIC",1,1,1,1,1,"Other"
"R_2S6yWv18V60vrj3","non-country-specific",1,NA,NA,NA,NA,"University/Research institution"
"R_2D5D8RfxYEon8Sq","non-country-specific",1,NA,1,1,1,"University/Research institution"
"R_52QqGgL2YG7d4pI","non-country-specific",1,NA,NA,NA,NA,"Other"
"R_4OJvwKZjlBsNmfz","non-country-specific",NA,NA,NA,NA,NA,"University/Research institution"
"R_8dOqfvMcq7pEQMN","non-country-specific",1,NA,NA,1,NA,"Other"
"R_2IbyybuhHDzlJZb","non-country-specific",1,1,1,1,1,"University/Research institution"
"R_2MKkKjQsGjc02Um","non-country-specific",1,1,1,1,1,"University/Research institution"
"R_8PixULxCHuoxIAG","non-country-specific",1,1,1,1,1,"University/Research institution"
"R_5brM5EUWietpDOh","non-country-specific",1,1,1,1,1,"Other"
"R_23c8kdmajRzNpqp","non-country-specific",1,NA,NA,NA,NA,"University/Research institution"
"R_2jqbcVaHhQkLnhf","non-country-specific",1,1,1,1,1,"Other"
"R_8wgg8BZlaVCR413","non-country-specific",NA,NA,NA,NA,NA,"Other"
"R_2OZevqoIyEYWzvj","non-country-specific",NA,NA,NA,NA,NA,"University/Research institution"
"R_499SKPYx1wA78Hn","non-country-specific",NA,NA,NA,NA,NA,"University/Research institution"
"R_87r11nIKiDTV9Fj","non-country-specific",NA,NA,NA,NA,NA,"Other"
"R_2vw7OjKz1W4ERy1","non-country-specific",1,1,1,1,1,"Other"
"R_8zTLqJ0EeDS56DL","non-country-specific",NA,NA,NA,NA,NA,"Other"
"R_8jcsB7XZswXoOe3","non-country-specific",1,NA,NA,NA,NA,"University/Research institution"
"R_2nI3M4DhApFfZHA","non-country-specific",NA,NA,NA,NA,NA,"University/Research institution"
"R_8bJac19SC4CwHqV","non-country-specific",NA,NA,NA,NA,NA,"University/Research institution"
"R_2iqTKl4qoEBXSPq","non-country-specific",1,NA,1,NA,NA,"Other"
"R_2MYvgXWOest5gN6","non-country-specific",NA,NA,NA,NA,NA,"Other"
"R_80HkPW9q6dMaHm1","non-country-specific",1,1,1,1,1,"Other"
"R_4Sh7ElUs271X0vT","non-country-specific",1,1,1,1,1,"Other"
"R_2KDz87NXKTwHzlD","non-country-specific",NA,NA,NA,NA,NA,"Other"
"R_2CDXeS3IRTdo74U","non-country-specific",1,NA,1,NA,NA,"University/Research institution"
"R_2wRomGJjKA37uf4","non-country-specific",NA,NA,NA,NA,NA,"Other"
