"year","health_systems_costs","monetized_dalys_averted","in_2022_prices","cash_flow","method","p","run_id"
2000,0,0,17057845.3243628,-17057845.3243628,"dalys_monetized_1","Absolute All AL disp",1
2001,0,0,29426964.6652375,-29426964.6652375,"dalys_monetized_1","Absolute All AL disp",1
2002,0,0,19411263.0122196,-19411263.0122196,"dalys_monetized_1","Absolute All AL disp",1
2003,0,0,37445648.5307549,-37445648.5307549,"dalys_monetized_1","Absolute All AL disp",1
2004,0,0,47808937.615146,-47808937.615146,"dalys_monetized_1","Absolute All AL disp",1
2005,0,0,73924661.3628008,-73924661.3628008,"dalys_monetized_1","Absolute All AL disp",1
2006,0,0,47508028.8390312,-47508028.8390312,"dalys_monetized_1","Absolute All AL disp",1
2007,0,0,119573904.611863,-119573904.611863,"dalys_monetized_1","Absolute All AL disp",1
2008,0,0,83246720.7199973,-83246720.7199973,"dalys_monetized_1","Absolute All AL disp",1
2009,0,0,60350912.4226288,-60350912.4226288,"dalys_monetized_1","Absolute All AL disp",1
2010,0,0,83188332.1659396,-83188332.1659396,"dalys_monetized_1","Absolute All AL disp",1
2011,923842445.622983,43673681818.864,94800366.448838,42655039006.7922,"dalys_monetized_1","Absolute All AL disp",1
2012,1038525027.69927,54943158723.3404,77163299.4713698,53827470396.1698,"dalys_monetized_1","Absolute All AL disp",1
2013,683035590.122582,40988798981.226,81645883.5960594,40224117507.5074,"dalys_monetized_1","Absolute All AL disp",1
2014,1042507838.72657,128390396450.201,97376711.6301935,127250511899.844,"dalys_monetized_1","Absolute All AL disp",1
2015,835069277.39361,122671081521.853,104507974.159771,121731504270.3,"dalys_monetized_1","Absolute All AL disp",1
2016,907508781.750378,117588751318.164,86919026.0354905,116594323510.378,"dalys_monetized_1","Absolute All AL disp",1
2017,1326328223.22863,163372461523.131,85429646.7507117,161960703653.151,"dalys_monetized_1","Absolute All AL disp",1
2018,1098747080.73932,153009464512.69,74774845.8504308,151835942586.101,"dalys_monetized_1","Absolute All AL disp",1
2019,1320143414.79331,130375294892.076,79415904.3850866,128975735572.898,"dalys_monetized_1","Absolute All AL disp",1
2020,2276644457.30314,194091037735.69,93247509.3943228,191721145768.992,"dalys_monetized_1","Absolute All AL disp",1
2021,2479848222.55459,198369306901.224,90669963.93291,195798788714.736,"dalys_monetized_1","Absolute All AL disp",1
2022,2239239163.12879,218361209888.72,79034512.32,216042936213.271,"dalys_monetized_1","Absolute All AL disp",1
2000,0,0,17057845.3243628,-17057845.3243628,"dalys_monetized_2","Absolute All AL disp",1
2001,0,0,29426964.6652375,-29426964.6652375,"dalys_monetized_2","Absolute All AL disp",1
2002,0,0,19411263.0122196,-19411263.0122196,"dalys_monetized_2","Absolute All AL disp",1
2003,0,0,37445648.5307549,-37445648.5307549,"dalys_monetized_2","Absolute All AL disp",1
2004,0,0,47808937.615146,-47808937.615146,"dalys_monetized_2","Absolute All AL disp",1
2005,0,0,73924661.3628008,-73924661.3628008,"dalys_monetized_2","Absolute All AL disp",1
2006,0,0,47508028.8390312,-47508028.8390312,"dalys_monetized_2","Absolute All AL disp",1
2007,0,0,119573904.611863,-119573904.611863,"dalys_monetized_2","Absolute All AL disp",1
2008,0,0,83246720.7199973,-83246720.7199973,"dalys_monetized_2","Absolute All AL disp",1
2009,0,0,60350912.4226288,-60350912.4226288,"dalys_monetized_2","Absolute All AL disp",1
2010,0,0,83188332.1659396,-83188332.1659396,"dalys_monetized_2","Absolute All AL disp",1
2011,1235644009.49733,31545863210.6614,94800366.448838,30215418834.7152,"dalys_monetized_2","Absolute All AL disp",1
2012,1001168550.90479,39406693504.8107,77163299.4713698,38328361654.4345,"dalys_monetized_2","Absolute All AL disp",1
2013,725856457.331325,29151009848.0666,81645883.5960594,28343507507.1393,"dalys_monetized_2","Absolute All AL disp",1
2014,1065406365.77796,91210084739.9109,97376711.6301935,90047301662.5027,"dalys_monetized_2","Absolute All AL disp",1
2015,906129993.826414,87215676892.6505,104507974.159771,86205038924.6644,"dalys_monetized_2","Absolute All AL disp",1
2016,960678244.57599,83835000756.0198,86919026.0354905,82787403485.4084,"dalys_monetized_2","Absolute All AL disp",1
