"year","health_systems_costs","monetized_dalys_averted","in_2022_prices","cash_flow","method","p","run_id"
2000,0,0,17057845.3243628,-17057845.3243628,"dalys_monetized_1","Absolute Coartem disp only",1
2001,0,0,29426964.6652375,-29426964.6652375,"dalys_monetized_1","Absolute Coartem disp only",1
2002,0,0,19411263.0122196,-19411263.0122196,"dalys_monetized_1","Absolute Coartem disp only",1
2003,0,0,37445648.5307549,-37445648.5307549,"dalys_monetized_1","Absolute Coartem disp only",1
2004,0,0,47808937.615146,-47808937.615146,"dalys_monetized_1","Absolute Coartem disp only",1
2005,0,0,73924661.3628008,-73924661.3628008,"dalys_monetized_1","Absolute Coartem disp only",1
2006,0,0,47508028.8390312,-47508028.8390312,"dalys_monetized_1","Absolute Coartem disp only",1
2007,0,0,119573904.611863,-119573904.611863,"dalys_monetized_1","Absolute Coartem disp only",1
2008,0,0,83246720.7199973,-83246720.7199973,"dalys_monetized_1","Absolute Coartem disp only",1
2009,0,0,60350912.4226288,-60350912.4226288,"dalys_monetized_1","Absolute Coartem disp only",1
2010,0,0,83188332.1659396,-83188332.1659396,"dalys_monetized_1","Absolute Coartem disp only",1
2011,1014770957.1016,43673681818.864,94800366.448838,42564110495.3136,"dalys_monetized_1","Absolute Coartem disp only",1
2012,956374926.841909,54943158723.3404,77163299.4713698,53909620497.0272,"dalys_monetized_1","Absolute Coartem disp only",1
2013,744483361.42464,39551918493.7562,81645883.5960594,38725789248.7355,"dalys_monetized_1","Absolute Coartem disp only",1
2014,980100288.065159,123073133221.416,97376711.6301935,121995656221.721,"dalys_monetized_1","Absolute Coartem disp only",1
2015,808250340.397001,115651872064.672,104507974.159771,114739113750.115,"dalys_monetized_1","Absolute Coartem disp only",1
2016,968109080.964157,117588751318.164,86919026.0354905,116533723211.164,"dalys_monetized_1","Absolute Coartem disp only",1
2017,1378058280.86544,154567410399.323,85429646.7507117,153103922471.707,"dalys_monetized_1","Absolute Coartem disp only",1
2018,1434267662.92887,145666315792.876,74774845.8504308,144157273284.096,"dalys_monetized_1","Absolute Coartem disp only",1
2019,1292016113.05607,128952153884.776,79415904.3850866,127580721867.335,"dalys_monetized_1","Absolute Coartem disp only",1
2020,1825037117.98528,180066595615.568,93247509.3943228,178148310988.189,"dalys_monetized_1","Absolute Coartem disp only",1
2021,2098433784.93914,190309962619.518,90669963.93291,188120858870.646,"dalys_monetized_1","Absolute Coartem disp only",1
2022,1425615299.22683,213202252470.445,79034512.32,211697602658.898,"dalys_monetized_1","Absolute Coartem disp only",1
2000,0,0,17057845.3243628,-17057845.3243628,"dalys_monetized_2","Absolute Coartem disp only",1
2001,0,0,29426964.6652375,-29426964.6652375,"dalys_monetized_2","Absolute Coartem disp only",1
2002,0,0,19411263.0122196,-19411263.0122196,"dalys_monetized_2","Absolute Coartem disp only",1
2003,0,0,37445648.5307549,-37445648.5307549,"dalys_monetized_2","Absolute Coartem disp only",1
2004,0,0,47808937.615146,-47808937.615146,"dalys_monetized_2","Absolute Coartem disp only",1
2005,0,0,73924661.3628008,-73924661.3628008,"dalys_monetized_2","Absolute Coartem disp only",1
2006,0,0,47508028.8390312,-47508028.8390312,"dalys_monetized_2","Absolute Coartem disp only",1
2007,0,0,119573904.611863,-119573904.611863,"dalys_monetized_2","Absolute Coartem disp only",1
2008,0,0,83246720.7199973,-83246720.7199973,"dalys_monetized_2","Absolute Coartem disp only",1
2009,0,0,60350912.4226288,-60350912.4226288,"dalys_monetized_2","Absolute Coartem disp only",1
2010,0,0,83188332.1659396,-83188332.1659396,"dalys_monetized_2","Absolute Coartem disp only",1
2011,1010935254.78638,31545863210.6614,94800366.448838,30440127589.4261,"dalys_monetized_2","Absolute Coartem disp only",1
2012,989226062.1708,39406693504.8107,77163299.4713698,38340304143.1685,"dalys_monetized_2","Absolute Coartem disp only",1
2013,670296120.72185,28129108297.3549,81645883.5960594,27377166293.037,"dalys_monetized_2","Absolute Coartem disp only",1
2014,977861276.776202,87432636869.2674,97376711.6301935,86357398880.861,"dalys_monetized_2","Absolute Coartem disp only",1
2015,806155138.515513,82215293357.7997,104507974.159771,81304630245.1244,"dalys_monetized_2","Absolute Coartem disp only",1
2016,982295886.983721,83835000756.0198,86919026.0354905,82765785843.0006,"dalys_monetized_2","Absolute Coartem disp only",1
2017,1359830847.40584,110356114662.929,85429646.7507117,108910854168.772,"dalys_monetized_2","Absolute Coartem disp only",1
2018,1242328032.80909,105370081862.654,74774845.8504308,104052978983.994,"dalys_monetized_2","Absolute Coartem disp only",1
2019,1341255300.42746,93265746170.507,79415904.3850866,91845074965.6945,"dalys_monetized_2","Absolute Coartem disp only",1
2020,2177023867.38894,131885257196.992,93247509.3943228,129614985820.208,"dalys_monetized_2","Absolute Coartem disp only",1
2021,2050284653.84809,138774286089.631,90669963.93291,136633331471.85,"dalys_monetized_2","Absolute Coartem disp only",1
2022,1627427558.45142,153184026045.738,79034512.32,151477563974.967,"dalys_monetized_2","Absolute Coartem disp only",1
2000,0,0,17057845.3243628,-17057845.3243628,"dalys_monetized_3","Absolute Coartem disp only",1
2001,0,0,29426964.6652375,-29426964.6652375,"dalys_monetized_3","Absolute Coartem disp only",1
2002,0,0,19411263.0122196,-19411263.0122196,"dalys_monetized_3","Absolute Coartem disp only",1
2003,0,0,37445648.5307549,-37445648.5307549,"dalys_monetized_3","Absolute Coartem disp only",1
2004,0,0,47808937.615146,-47808937.615146,"dalys_monetized_3","Absolute Coartem disp only",1
2005,0,0,73924661.3628008,-73924661.3628008,"dalys_monetized_3","Absolute Coartem disp only",1
2006,0,0,47508028.8390312,-47508028.8390312,"dalys_monetized_3","Absolute Coartem disp only",1
2007,0,0,119573904.611863,-119573904.611863,"dalys_monetized_3","Absolute Coartem disp only",1
2008,0,0,83246720.7199973,-83246720.7199973,"dalys_monetized_3","Absolute Coartem disp only",1
2009,0,0,60350912.4226288,-60350912.4226288,"dalys_monetized_3","Absolute Coartem disp only",1
2010,0,0,83188332.1659396,-83188332.1659396,"dalys_monetized_3","Absolute Coartem disp only",1
2011,1050629764.77236,46367979520.1583,94800366.448838,45222549388.9371,"dalys_monetized_3","Absolute Coartem disp only",1
2012,1108277170.8247,58070499554.7958,77163299.4713698,56885059084.4997,"dalys_monetized_3","Absolute Coartem disp only",1
2013,721460761.043973,41541979180.0383,81645883.5960594,40738872535.3983,"dalys_monetized_3","Absolute Coartem disp only",1
2014,1045144472.78505,129498084134.459,97376711.6301935,128355562950.044,"dalys_monetized_3","Absolute Coartem disp only",1
2015,844043980.346215,121461151789.462,104507974.159771,120512599834.956,"dalys_monetized_3","Absolute Coartem disp only",1
2016,1043297828.06547,122535247921.408,86919026.0354905,121405031067.307,"dalys_monetized_3","Absolute Coartem disp only",1
2017,1358020486.59276,159963370217.324,85429646.7507117,158519920083.98,"dalys_monetized_3","Absolute Coartem disp only",1
2018,1328317979.44849,151623054254.621,74774845.8504308,150219961429.322,"dalys_monetized_3","Absolute Coartem disp only",1
2019,1270930572.70747,134325471335.35,79415904.3850866,132975124858.257,"dalys_monetized_3","Absolute Coartem disp only",1
2020,2206995365.1783,190781793226.532,93247509.3943228,188481550351.96,"dalys_monetized_3","Absolute Coartem disp only",1
2021,2279366011.68164,201218044580.247,90669963.93291,198848008604.632,"dalys_monetized_3","Absolute Coartem disp only",1
2022,1933678700.20462,222329033186.822,79034512.32,220316319974.298,"dalys_monetized_3","Absolute Coartem disp only",1
2000,0,0,17057845.3243628,-17057845.3243628,"dalys_monetized_4","Absolute Coartem disp only",1
2001,0,0,29426964.6652375,-29426964.6652375,"dalys_monetized_4","Absolute Coartem disp only",1
2002,0,0,19411263.0122196,-19411263.0122196,"dalys_monetized_4","Absolute Coartem disp only",1
2003,0,0,37445648.5307549,-37445648.5307549,"dalys_monetized_4","Absolute Coartem disp only",1
2004,0,0,47808937.615146,-47808937.615146,"dalys_monetized_4","Absolute Coartem disp only",1
2005,0,0,73924661.3628008,-73924661.3628008,"dalys_monetized_4","Absolute Coartem disp only",1
2006,0,0,47508028.8390312,-47508028.8390312,"dalys_monetized_4","Absolute Coartem disp only",1
2007,0,0,119573904.611863,-119573904.611863,"dalys_monetized_4","Absolute Coartem disp only",1
2008,0,0,83246720.7199973,-83246720.7199973,"dalys_monetized_4","Absolute Coartem disp only",1
