"year","health_systems_costs","monetized_dalys_averted","in_2022_prices","cash_flow","method","p","run_id"
2000,0,0,17057845.3243628,-17057845.3243628,"dalys_monetized_1","Relative Coartem disp only",1
2001,0,0,29426964.6652375,-29426964.6652375,"dalys_monetized_1","Relative Coartem disp only",1
2002,0,0,19411263.0122196,-19411263.0122196,"dalys_monetized_1","Relative Coartem disp only",1
2003,0,0,37445648.5307549,-37445648.5307549,"dalys_monetized_1","Relative Coartem disp only",1
2004,0,0,47808937.615146,-47808937.615146,"dalys_monetized_1","Relative Coartem disp only",1
2005,0,0,73924661.3628008,-73924661.3628008,"dalys_monetized_1","Relative Coartem disp only",1
2006,0,0,47508028.8390312,-47508028.8390312,"dalys_monetized_1","Relative Coartem disp only",1
2007,0,0,119573904.611863,-119573904.611863,"dalys_monetized_1","Relative Coartem disp only",1
2008,0,0,83246720.7199973,-83246720.7199973,"dalys_monetized_1","Relative Coartem disp only",1
2009,0,0,60350912.4226288,-60350912.4226288,"dalys_monetized_1","Relative Coartem disp only",1
2010,0,0,83188332.1659396,-83188332.1659396,"dalys_monetized_1","Relative Coartem disp only",1
2011,1111181449.85811,0,94800366.448838,-1205981816.30695,"dalys_monetized_1","Relative Coartem disp only",1
2012,1107573853.45437,2390907350.08555,77163299.4713698,1206170197.15981,"dalys_monetized_1","Relative Coartem disp only",1
2013,689196063.468644,2721355621.95104,81645883.5960594,1950513674.88633,"dalys_monetized_1","Relative Coartem disp only",1
2014,959362339.122886,10549613162.7299,97376711.6301935,9492874111.97678,"dalys_monetized_1","Relative Coartem disp only",1
2015,884272945.438753,8133788409.12106,104507974.159771,7145007489.52254,"dalys_monetized_1","Relative Coartem disp only",1
2016,882805815.620814,12453738087.2661,86919026.0354905,11484013245.6098,"dalys_monetized_1","Relative Coartem disp only",1
2017,1417711432.84013,13951336349.8536,85429646.7507117,12448195270.2627,"dalys_monetized_1","Relative Coartem disp only",1
2018,1109089953.83137,15303137656.9768,74774845.8504308,14119272857.295,"dalys_monetized_1","Relative Coartem disp only",1
2019,1235355486.42651,15947148570.7254,79415904.3850866,14632377179.9138,"dalys_monetized_1","Relative Coartem disp only",1
2020,2091560464.52088,21212948133.6593,93247509.3943228,19028140159.7441,"dalys_monetized_1","Relative Coartem disp only",1
2021,2138795033.99385,25348055295.5872,90669963.93291,23118590297.6604,"dalys_monetized_1","Relative Coartem disp only",1
2022,2406671647.76609,26905618342.8693,79034512.32,24419912182.7832,"dalys_monetized_1","Relative Coartem disp only",1
2000,0,0,17057845.3243628,-17057845.3243628,"dalys_monetized_2","Relative Coartem disp only",1
2001,0,0,29426964.6652375,-29426964.6652375,"dalys_monetized_2","Relative Coartem disp only",1
2002,0,0,19411263.0122196,-19411263.0122196,"dalys_monetized_2","Relative Coartem disp only",1
2003,0,0,37445648.5307549,-37445648.5307549,"dalys_monetized_2","Relative Coartem disp only",1
2004,0,0,47808937.615146,-47808937.615146,"dalys_monetized_2","Relative Coartem disp only",1
