"year","health_systems_costs","monetized_dalys_averted","in_2022_prices","cash_flow","method","p","run_id"
2000,0,0,17057845.3243628,-17057845.3243628,"dalys_monetized_1","Relative_All AL disp",1
2001,0,0,29426964.6652375,-29426964.6652375,"dalys_monetized_1","Relative_All AL disp",1
2002,0,0,19411263.0122196,-19411263.0122196,"dalys_monetized_1","Relative_All AL disp",1
2003,0,0,37445648.5307549,-37445648.5307549,"dalys_monetized_1","Relative_All AL disp",1
2004,0,0,47808937.615146,-47808937.615146,"dalys_monetized_1","Relative_All AL disp",1
2005,0,0,73924661.3628008,-73924661.3628008,"dalys_monetized_1","Relative_All AL disp",1
2006,0,0,47508028.8390312,-47508028.8390312,"dalys_monetized_1","Relative_All AL disp",1
2007,0,0,119573904.611863,-119573904.611863,"dalys_monetized_1","Relative_All AL disp",1
2008,0,0,83246720.7199973,-83246720.7199973,"dalys_monetized_1","Relative_All AL disp",1
2009,0,0,60350912.4226288,-60350912.4226288,"dalys_monetized_1","Relative_All AL disp",1
2010,0,0,83188332.1659396,-83188332.1659396,"dalys_monetized_1","Relative_All AL disp",1
2011,1344093117.22532,0,94800366.448838,-1438893483.67416,"dalys_monetized_1","Relative_All AL disp",1
2012,943343312.011977,2390907350.08555,77163299.4713698,1370400738.6022,"dalys_monetized_1","Relative_All AL disp",1
2013,970616534.211271,2721355621.95104,81645883.5960594,1669093204.14371,"dalys_monetized_1","Relative_All AL disp",1
2014,1157618826.5828,10549613162.7299,97376711.6301935,9294617624.51686,"dalys_monetized_1","Relative_All AL disp",1
2015,984529976.431137,8133788409.12106,104507974.159771,7044750458.53015,"dalys_monetized_1","Relative_All AL disp",1
2016,872916638.930962,12453738087.2661,86919026.0354905,11493902422.2997,"dalys_monetized_1","Relative_All AL disp",1
2017,1334681616.32455,13951336349.8536,85429646.7507117,12531225086.7783,"dalys_monetized_1","Relative_All AL disp",1
2018,1179652049.94307,15303137656.9768,74774845.8504308,14048710761.1833,"dalys_monetized_1","Relative_All AL disp",1
2019,1515549352.6224,15947148570.7254,79415904.3850866,14352183313.7179,"dalys_monetized_1","Relative_All AL disp",1
2020,2076139938.50649,21212948133.6593,93247509.3943228,19043560685.7585,"dalys_monetized_1","Relative_All AL disp",1
2021,2586441074.95426,25348055295.5872,90669963.93291,22670944256.7,"dalys_monetized_1","Relative_All AL disp",1
2022,2150796337.14484,26905618342.8693,79034512.32,24675787493.4044,"dalys_monetized_1","Relative_All AL disp",1
2000,0,0,17057845.3243628,-17057845.3243628,"dalys_monetized_2","Relative_All AL disp",1
2001,0,0,29426964.6652375,-29426964.6652375,"dalys_monetized_2","Relative_All AL disp",1
2002,0,0,19411263.0122196,-19411263.0122196,"dalys_monetized_2","Relative_All AL disp",1
2003,0,0,37445648.5307549,-37445648.5307549,"dalys_monetized_2","Relative_All AL disp",1
2004,0,0,47808937.615146,-47808937.615146,"dalys_monetized_2","Relative_All AL disp",1
2005,0,0,73924661.3628008,-73924661.3628008,"dalys_monetized_2","Relative_All AL disp",1
2006,0,0,47508028.8390312,-47508028.8390312,"dalys_monetized_2","Relative_All AL disp",1
2007,0,0,119573904.611863,-119573904.611863,"dalys_monetized_2","Relative_All AL disp",1
