"year","health_systems_costs","monetized_dalys_averted","in_2022_prices","cash_flow","method","p","run_id"
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Absolute All AL disp",1
2001,0,0,44971604.9464951,-44971604.9464951,"dalys_monetized_1","Absolute All AL disp",1
2002,0,0,29197993.3498014,-29197993.3498014,"dalys_monetized_1","Absolute All AL disp",1
2003,0,0,55058570.8367679,-55058570.8367679,"dalys_monetized_1","Absolute All AL disp",1
2004,0,0,68448230.7639059,-68448230.7639059,"dalys_monetized_1","Absolute All AL disp",1
2005,0,0,102358034.746129,-102358034.746129,"dalys_monetized_1","Absolute All AL disp",1
2006,0,0,63741152.1534097,-63741152.1534097,"dalys_monetized_1","Absolute All AL disp",1
2007,0,0,156061650.005058,-156061650.005058,"dalys_monetized_1","Absolute All AL disp",1
2008,0,0,104671769.084416,-104671769.084416,"dalys_monetized_1","Absolute All AL disp",1
2009,0,0,76188062.9033656,-76188062.9033656,"dalys_monetized_1","Absolute All AL disp",1
2010,0,0,103364593.393778,-103364593.393778,"dalys_monetized_1","Absolute All AL disp",1
2011,1482178200.73959,56132954075.2117,114140481.986052,54536635392.486,"dalys_monetized_1","Absolute All AL disp",1
2012,1229136942.30735,68223241991.7724,90994414.2238533,66903110635.2412,"dalys_monetized_1","Absolute All AL disp",1
2013,1217730427.93397,49938770800.1225,94857613.7222628,48626182758.4662,"dalys_monetized_1","Absolute All AL disp",1
2014,1202575945.7656,182988058916.635,111352327.276237,181674130643.593,"dalys_monetized_1","Absolute All AL disp",1
2015,999496074.117704,179489261290.882,119387688.97028,178370377527.794,"dalys_monetized_1","Absolute All AL disp",1
2016,1006498541.63613,182586948626.31,98020185.9664466,181482429898.707,"dalys_monetized_1","Absolute All AL disp",1
2017,1793309023.84194,259395579630.837,94359045.5684168,257507911561.426,"dalys_monetized_1","Absolute All AL disp",1
2018,1737047135.97533,260460163048.061,80654851.9945019,258642461060.091,"dalys_monetized_1","Absolute All AL disp",1
2019,1644684634.15987,230134083349.161,84146233.3138799,228405252481.687,"dalys_monetized_1","Absolute All AL disp",1
2020,2975845812.15373,325213628988.768,97630142.335856,322140153034.279,"dalys_monetized_1","Absolute All AL disp",1
2021,2577150607.76516,362730251317.391,90669963.93291,360062430745.693,"dalys_monetized_1","Absolute All AL disp",1
2022,0,397598834165.828,73180104,397525654061.828,"dalys_monetized_1","Absolute All AL disp",1
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Absolute All AL disp",2
2001,0,0,44971604.9464951,-44971604.9464951,"dalys_monetized_1","Absolute All AL disp",2
2002,0,0,29197993.3498014,-29197993.3498014,"dalys_monetized_1","Absolute All AL disp",2
2003,0,0,55058570.8367679,-55058570.8367679,"dalys_monetized_1","Absolute All AL disp",2
2004,0,0,68448230.7639059,-68448230.7639059,"dalys_monetized_1","Absolute All AL disp",2
2005,0,0,102358034.746129,-102358034.746129,"dalys_monetized_1","Absolute All AL disp",2
2006,0,0,63741152.1534097,-63741152.1534097,"dalys_monetized_1","Absolute All AL disp",2
2007,0,0,156061650.005058,-156061650.005058,"dalys_monetized_1","Absolute All AL disp",2
2008,0,0,104671769.084416,-104671769.084416,"dalys_monetized_1","Absolute All AL disp",2
2009,0,0,76188062.9033656,-76188062.9033656,"dalys_monetized_1","Absolute All AL disp",2
2010,0,0,103364593.393778,-103364593.393778,"dalys_monetized_1","Absolute All AL disp",2
2011,1266013913.59056,56132954075.2117,114140481.986052,54752799679.635,"dalys_monetized_1","Absolute All AL disp",2
2012,1164706814.42522,68223241991.7724,90994414.2238533,66967540763.1234,"dalys_monetized_1","Absolute All AL disp",2
2013,844779919.714684,49938770800.1225,94857613.7222628,48999133266.6855,"dalys_monetized_1","Absolute All AL disp",2
2014,1549064516.23247,182988058916.635,111352327.276237,181327642073.126,"dalys_monetized_1","Absolute All AL disp",2
2015,999242895.457504,179489261290.882,119387688.97028,178370630706.455,"dalys_monetized_1","Absolute All AL disp",2
2016,1179638386.44583,182586948626.31,98020185.9664466,181309290053.897,"dalys_monetized_1","Absolute All AL disp",2
2017,1651363287.75462,259395579630.837,94359045.5684168,257649857297.514,"dalys_monetized_1","Absolute All AL disp",2
2018,1691922955.45208,260460163048.061,80654851.9945019,258687585240.615,"dalys_monetized_1","Absolute All AL disp",2
2019,1312289125.68454,230134083349.161,84146233.3138799,228737647990.162,"dalys_monetized_1","Absolute All AL disp",2
2020,2506070030.99601,325213628988.768,97630142.335856,322609928815.437,"dalys_monetized_1","Absolute All AL disp",2
2021,2369522699.53842,362730251317.391,90669963.93291,360270058653.92,"dalys_monetized_1","Absolute All AL disp",2
2022,0,397598834165.828,73180104,397525654061.828,"dalys_monetized_1","Absolute All AL disp",2
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Absolute All AL disp",3
2001,0,0,44971604.9464951,-44971604.9464951,"dalys_monetized_1","Absolute All AL disp",3
2002,0,0,29197993.3498014,-29197993.3498014,"dalys_monetized_1","Absolute All AL disp",3
2003,0,0,55058570.8367679,-55058570.8367679,"dalys_monetized_1","Absolute All AL disp",3
2004,0,0,68448230.7639059,-68448230.7639059,"dalys_monetized_1","Absolute All AL disp",3
2005,0,0,102358034.746129,-102358034.746129,"dalys_monetized_1","Absolute All AL disp",3
2006,0,0,63741152.1534097,-63741152.1534097,"dalys_monetized_1","Absolute All AL disp",3
2007,0,0,156061650.005058,-156061650.005058,"dalys_monetized_1","Absolute All AL disp",3
2008,0,0,104671769.084416,-104671769.084416,"dalys_monetized_1","Absolute All AL disp",3
2009,0,0,76188062.9033656,-76188062.9033656,"dalys_monetized_1","Absolute All AL disp",3
2010,0,0,103364593.393778,-103364593.393778,"dalys_monetized_1","Absolute All AL disp",3
2011,1129886806.68734,56132954075.2117,114140481.986052,54888926786.5383,"dalys_monetized_1","Absolute All AL disp",3
2012,1195061801.94158,68223241991.7724,90994414.2238533,66937185775.607,"dalys_monetized_1","Absolute All AL disp",3
2013,889772281.090841,49938770800.1225,94857613.7222628,48954140905.3094,"dalys_monetized_1","Absolute All AL disp",3
2014,1418632969.34209,182988058916.635,111352327.276237,181458073620.016,"dalys_monetized_1","Absolute All AL disp",3
2015,1032434954.53204,179489261290.882,119387688.97028,178337438647.38,"dalys_monetized_1","Absolute All AL disp",3
2016,1146072657.03768,182586948626.31,98020185.9664466,181342855783.305,"dalys_monetized_1","Absolute All AL disp",3
2017,1735531133.40534,259395579630.837,94359045.5684168,257565689451.863,"dalys_monetized_1","Absolute All AL disp",3
2018,1663517081.328,260460163048.061,80654851.9945019,258715991114.739,"dalys_monetized_1","Absolute All AL disp",3
2019,1604510259.57475,230134083349.161,84146233.3138799,228445426856.272,"dalys_monetized_1","Absolute All AL disp",3
2020,2474662178.78122,325213628988.768,97630142.335856,322641336667.651,"dalys_monetized_1","Absolute All AL disp",3
2021,2257826989.49228,362730251317.391,90669963.93291,360381754363.966,"dalys_monetized_1","Absolute All AL disp",3
2022,0,397598834165.828,73180104,397525654061.828,"dalys_monetized_1","Absolute All AL disp",3
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Absolute All AL disp",4
2001,0,0,44971604.9464951,-44971604.9464951,"dalys_monetized_1","Absolute All AL disp",4
2002,0,0,29197993.3498014,-29197993.3498014,"dalys_monetized_1","Absolute All AL disp",4
