"year","health_systems_costs","monetized_dalys_averted","in_2022_prices","cash_flow","method","p","run_id"
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Absolute Coartem disp only",1
2001,0,0,44971604.9464951,-44971604.9464951,"dalys_monetized_1","Absolute Coartem disp only",1
2002,0,0,29197993.3498014,-29197993.3498014,"dalys_monetized_1","Absolute Coartem disp only",1
2003,0,0,55058570.8367679,-55058570.8367679,"dalys_monetized_1","Absolute Coartem disp only",1
2004,0,0,68448230.7639059,-68448230.7639059,"dalys_monetized_1","Absolute Coartem disp only",1
2005,0,0,102358034.746129,-102358034.746129,"dalys_monetized_1","Absolute Coartem disp only",1
2006,0,0,63741152.1534097,-63741152.1534097,"dalys_monetized_1","Absolute Coartem disp only",1
2007,0,0,156061650.005058,-156061650.005058,"dalys_monetized_1","Absolute Coartem disp only",1
2008,0,0,104671769.084416,-104671769.084416,"dalys_monetized_1","Absolute Coartem disp only",1
2009,0,0,76188062.9033656,-76188062.9033656,"dalys_monetized_1","Absolute Coartem disp only",1
2010,0,0,103364593.393778,-103364593.393778,"dalys_monetized_1","Absolute Coartem disp only",1
2011,1458642530.48459,56132954075.2117,114140481.986052,54560171062.741,"dalys_monetized_1","Absolute Coartem disp only",1
2012,973237420.190604,68223241991.7724,90994414.2238533,67159010157.358,"dalys_monetized_1","Absolute Coartem disp only",1
2013,871330421.821895,48188145089.8207,94857613.7222628,47221957054.2766,"dalys_monetized_1","Absolute Coartem disp only",1
2014,1037348656.88562,175409644145.079,111352327.276237,174260943160.917,"dalys_monetized_1","Absolute Coartem disp only",1
2015,971470173.822815,168956207677.501,119387688.97028,167865349814.708,"dalys_monetized_1","Absolute Coartem disp only",1
2016,1181652717.90765,182586948626.31,98020185.9664466,181307275722.435,"dalys_monetized_1","Absolute Coartem disp only",1
2017,1471890658.238,245167498012.885,94359045.5684168,243601248309.079,"dalys_monetized_1","Absolute Coartem disp only",1
2018,1512218238.02568,247919091311.929,80654851.9945019,246326218221.908,"dalys_monetized_1","Absolute Coartem disp only",1
2019,1601271055.47764,227618183766.145,84146233.3138799,225932766477.354,"dalys_monetized_1","Absolute Coartem disp only",1
2020,2686134420.65745,301817484912.602,97630142.335856,299033720349.609,"dalys_monetized_1","Absolute Coartem disp only",1
2021,1872029390.83788,348028619599.649,90669963.93291,346065920244.878,"dalys_monetized_1","Absolute Coartem disp only",1
2022,0,388377454992.885,73180104,388304274888.885,"dalys_monetized_1","Absolute Coartem disp only",1
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Absolute Coartem disp only",2
2001,0,0,44971604.9464951,-44971604.9464951,"dalys_monetized_1","Absolute Coartem disp only",2
2002,0,0,29197993.3498014,-29197993.3498014,"dalys_monetized_1","Absolute Coartem disp only",2
2003,0,0,55058570.8367679,-55058570.8367679,"dalys_monetized_1","Absolute Coartem disp only",2
2004,0,0,68448230.7639059,-68448230.7639059,"dalys_monetized_1","Absolute Coartem disp only",2
2005,0,0,102358034.746129,-102358034.746129,"dalys_monetized_1","Absolute Coartem disp only",2
2006,0,0,63741152.1534097,-63741152.1534097,"dalys_monetized_1","Absolute Coartem disp only",2
2007,0,0,156061650.005058,-156061650.005058,"dalys_monetized_1","Absolute Coartem disp only",2
2008,0,0,104671769.084416,-104671769.084416,"dalys_monetized_1","Absolute Coartem disp only",2
2009,0,0,76188062.9033656,-76188062.9033656,"dalys_monetized_1","Absolute Coartem disp only",2
2010,0,0,103364593.393778,-103364593.393778,"dalys_monetized_1","Absolute Coartem disp only",2
2011,1077337209.36697,56132954075.2117,114140481.986052,54941476383.8586,"dalys_monetized_1","Absolute Coartem disp only",2
2012,1266082838.8673,68223241991.7724,90994414.2238533,66866164738.6813,"dalys_monetized_1","Absolute Coartem disp only",2
2013,821624037.455904,48188145089.8207,94857613.7222628,47271663438.6426,"dalys_monetized_1","Absolute Coartem disp only",2
2014,1234035807.77799,175409644145.079,111352327.276237,174064256010.024,"dalys_monetized_1","Absolute Coartem disp only",2
2015,1068560638.03619,168956207677.501,119387688.97028,167768259350.494,"dalys_monetized_1","Absolute Coartem disp only",2
2016,1220260735.37063,182586948626.31,98020185.9664466,181268667704.972,"dalys_monetized_1","Absolute Coartem disp only",2
2017,1594249982.3973,245167498012.885,94359045.5684168,243478888984.919,"dalys_monetized_1","Absolute Coartem disp only",2
2018,1166579222.76661,247919091311.929,80654851.9945019,246671857237.168,"dalys_monetized_1","Absolute Coartem disp only",2
2019,1227095943.33719,227618183766.145,84146233.3138799,226306941589.494,"dalys_monetized_1","Absolute Coartem disp only",2
2020,2372542412.98411,301817484912.602,97630142.335856,299347312357.282,"dalys_monetized_1","Absolute Coartem disp only",2
2021,2192358974.78828,348028619599.649,90669963.93291,345745590660.928,"dalys_monetized_1","Absolute Coartem disp only",2
2022,0,388377454992.885,73180104,388304274888.885,"dalys_monetized_1","Absolute Coartem disp only",2
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Absolute Coartem disp only",3
2001,0,0,44971604.9464951,-44971604.9464951,"dalys_monetized_1","Absolute Coartem disp only",3
2002,0,0,29197993.3498014,-29197993.3498014,"dalys_monetized_1","Absolute Coartem disp only",3
2003,0,0,55058570.8367679,-55058570.8367679,"dalys_monetized_1","Absolute Coartem disp only",3
2004,0,0,68448230.7639059,-68448230.7639059,"dalys_monetized_1","Absolute Coartem disp only",3
2005,0,0,102358034.746129,-102358034.746129,"dalys_monetized_1","Absolute Coartem disp only",3
2006,0,0,63741152.1534097,-63741152.1534097,"dalys_monetized_1","Absolute Coartem disp only",3
2007,0,0,156061650.005058,-156061650.005058,"dalys_monetized_1","Absolute Coartem disp only",3
2008,0,0,104671769.084416,-104671769.084416,"dalys_monetized_1","Absolute Coartem disp only",3
2009,0,0,76188062.9033656,-76188062.9033656,"dalys_monetized_1","Absolute Coartem disp only",3
2010,0,0,103364593.393778,-103364593.393778,"dalys_monetized_1","Absolute Coartem disp only",3
