"year","health_systems_costs","monetized_dalys_averted","in_2022_prices","cash_flow","method","p","run_id"
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Relative Coartem disp only",1
2001,0,0,44971604.9464951,-44971604.9464951,"dalys_monetized_1","Relative Coartem disp only",1
2002,0,0,29197993.3498014,-29197993.3498014,"dalys_monetized_1","Relative Coartem disp only",1
2003,0,0,55058570.8367679,-55058570.8367679,"dalys_monetized_1","Relative Coartem disp only",1
2004,0,0,68448230.7639059,-68448230.7639059,"dalys_monetized_1","Relative Coartem disp only",1
2005,0,0,102358034.746129,-102358034.746129,"dalys_monetized_1","Relative Coartem disp only",1
2006,0,0,63741152.1534097,-63741152.1534097,"dalys_monetized_1","Relative Coartem disp only",1
2007,0,0,156061650.005058,-156061650.005058,"dalys_monetized_1","Relative Coartem disp only",1
2008,0,0,104671769.084416,-104671769.084416,"dalys_monetized_1","Relative Coartem disp only",1
2009,0,0,76188062.9033656,-76188062.9033656,"dalys_monetized_1","Relative Coartem disp only",1
2010,0,0,103364593.393778,-103364593.393778,"dalys_monetized_1","Relative Coartem disp only",1
2011,1225770759.01775,0,114140481.986052,-1339911241.0038,"dalys_monetized_1","Relative Coartem disp only",1
2012,1266800145.38489,2968803660.27264,90994414.2238533,1611009100.6639,"dalys_monetized_1","Relative Coartem disp only",1
2013,814756061.285845,3315568107.58188,94857613.7222628,2405954432.57377,"dalys_monetized_1","Relative Coartem disp only",1
2014,1090866527.78447,15035807103.5172,111352327.276237,13833588248.4564,"dalys_monetized_1","Relative Coartem disp only",1
2015,1113106739.10473,12034832080.6341,119387688.97028,10802337652.5591,"dalys_monetized_1","Relative Coartem disp only",1
2016,1434727612.95559,19312662246.6961,98020185.9664466,17779914447.7741,"dalys_monetized_1","Relative Coartem disp only",1
2017,1789272148.93465,22053780446.2972,94359045.5684168,20170149251.7942,"dalys_monetized_1","Relative Coartem disp only",1
2018,1666547683.62093,25876328239.0659,80654851.9945019,24129125703.4505,"dalys_monetized_1","Relative Coartem disp only",1
2019,1638175673.16706,27861905000.0971,84146233.3138799,26139583093.6162,"dalys_monetized_1","Relative Coartem disp only",1
2020,2281794093.79086,35407567859.9332,97630142.335856,33028143623.8065,"dalys_monetized_1","Relative Coartem disp only",1
2021,1972299792.99967,46250654051.3714,90669963.93291,44187684294.4388,"dalys_monetized_1","Relative Coartem disp only",1
2022,0,49300609553.6135,73180104,49227429449.6135,"dalys_monetized_1","Relative Coartem disp only",1
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Relative Coartem disp only",2
2001,0,0,44971604.9464951,-44971604.9464951,"dalys_monetized_1","Relative Coartem disp only",2
2002,0,0,29197993.3498014,-29197993.3498014,"dalys_monetized_1","Relative Coartem disp only",2
2003,0,0,55058570.8367679,-55058570.8367679,"dalys_monetized_1","Relative Coartem disp only",2
2004,0,0,68448230.7639059,-68448230.7639059,"dalys_monetized_1","Relative Coartem disp only",2
2005,0,0,102358034.746129,-102358034.746129,"dalys_monetized_1","Relative Coartem disp only",2
2006,0,0,63741152.1534097,-63741152.1534097,"dalys_monetized_1","Relative Coartem disp only",2
2007,0,0,156061650.005058,-156061650.005058,"dalys_monetized_1","Relative Coartem disp only",2
2008,0,0,104671769.084416,-104671769.084416,"dalys_monetized_1","Relative Coartem disp only",2
2009,0,0,76188062.9033656,-76188062.9033656,"dalys_monetized_1","Relative Coartem disp only",2
2010,0,0,103364593.393778,-103364593.393778,"dalys_monetized_1","Relative Coartem disp only",2
2011,1108704347.28662,0,114140481.986052,-1222844829.27268,"dalys_monetized_1","Relative Coartem disp only",2
2012,1370825738.09497,2968803660.27264,90994414.2238533,1506983507.95381,"dalys_monetized_1","Relative Coartem disp only",2
2013,1075447142.11541,3315568107.58188,94857613.7222628,2145263351.74421,"dalys_monetized_1","Relative Coartem disp only",2
2014,1212747755.90317,15035807103.5172,111352327.276237,13711707020.3378,"dalys_monetized_1","Relative Coartem disp only",2
2015,1086921583.34216,12034832080.6341,119387688.97028,10828522808.3217,"dalys_monetized_1","Relative Coartem disp only",2
2016,1045681895.2009,19312662246.6961,98020185.9664466,18168960165.5288,"dalys_monetized_1","Relative Coartem disp only",2
2017,1708738781.612,22053780446.2972,94359045.5684168,20250682619.1168,"dalys_monetized_1","Relative Coartem disp only",2
2018,1473358468.72056,25876328239.0659,80654851.9945019,24322314918.3509,"dalys_monetized_1","Relative Coartem disp only",2
2019,1649169945.96357,27861905000.0971,84146233.3138799,26128588820.8197,"dalys_monetized_1","Relative Coartem disp only",2
2020,2757186002.0759,35407567859.9332,97630142.335856,32552751715.5214,"dalys_monetized_1","Relative Coartem disp only",2
2021,2004260980.41669,46250654051.3714,90669963.93291,44155723107.0218,"dalys_monetized_1","Relative Coartem disp only",2
2022,0,49300609553.6135,73180104,49227429449.6135,"dalys_monetized_1","Relative Coartem disp only",2
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Relative Coartem disp only",3
2001,0,0,44971604.9464951,-44971604.9464951,"dalys_monetized_1","Relative Coartem disp only",3
2002,0,0,29197993.3498014,-29197993.3498014,"dalys_monetized_1","Relative Coartem disp only",3
2003,0,0,55058570.8367679,-55058570.8367679,"dalys_monetized_1","Relative Coartem disp only",3
2004,0,0,68448230.7639059,-68448230.7639059,"dalys_monetized_1","Relative Coartem disp only",3
2005,0,0,102358034.746129,-102358034.746129,"dalys_monetized_1","Relative Coartem disp only",3
2006,0,0,63741152.1534097,-63741152.1534097,"dalys_monetized_1","Relative Coartem disp only",3
2007,0,0,156061650.005058,-156061650.005058,"dalys_monetized_1","Relative Coartem disp only",3
2008,0,0,104671769.084416,-104671769.084416,"dalys_monetized_1","Relative Coartem disp only",3
2009,0,0,76188062.9033656,-76188062.9033656,"dalys_monetized_1","Relative Coartem disp only",3
2010,0,0,103364593.393778,-103364593.393778,"dalys_monetized_1","Relative Coartem disp only",3
2011,1298290504.94872,0,114140481.986052,-1412430986.93477,"dalys_monetized_1","Relative Coartem disp only",3
2012,1166552507.63308,2968803660.27264,90994414.2238533,1711256738.41571,"dalys_monetized_1","Relative Coartem disp only",3
2013,815510246.467091,3315568107.58188,94857613.7222628,2405200247.39252,"dalys_monetized_1","Relative Coartem disp only",3
2014,1101522638.96441,15035807103.5172,111352327.276237,13822932137.2765,"dalys_monetized_1","Relative Coartem disp only",3
2015,1160455189.64004,12034832080.6341,119387688.97028,10754989202.0238,"dalys_monetized_1","Relative Coartem disp only",3
2016,1204767248.69077,19312662246.6961,98020185.9664466,18009874812.0389,"dalys_monetized_1","Relative Coartem disp only",3
2017,1528513699.80142,22053780446.2972,94359045.5684168,20430907700.9274,"dalys_monetized_1","Relative Coartem disp only",3
2018,1625457301.86501,25876328239.0659,80654851.9945019,24170216085.2064,"dalys_monetized_1","Relative Coartem disp only",3
2019,1493027005.36739,27861905000.0971,84146233.3138799,26284731761.4159,"dalys_monetized_1","Relative Coartem disp only",3
2020,3036271374.06275,35407567859.9332,97630142.335856,32273666343.5346,"dalys_monetized_1","Relative Coartem disp only",3
2021,2246210462.95681,46250654051.3714,90669963.93291,43913773624.4816,"dalys_monetized_1","Relative Coartem disp only",3
2022,0,49300609553.6135,73180104,49227429449.6135,"dalys_monetized_1","Relative Coartem disp only",3
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Relative Coartem disp only",4
2001,0,0,44971604.9464951,-44971604.9464951,"dalys_monetized_1","Relative Coartem disp only",4
2002,0,0,29197993.3498014,-29197993.3498014,"dalys_monetized_1","Relative Coartem disp only",4
2003,0,0,55058570.8367679,-55058570.8367679,"dalys_monetized_1","Relative Coartem disp only",4
2004,0,0,68448230.7639059,-68448230.7639059,"dalys_monetized_1","Relative Coartem disp only",4
2005,0,0,102358034.746129,-102358034.746129,"dalys_monetized_1","Relative Coartem disp only",4
2006,0,0,63741152.1534097,-63741152.1534097,"dalys_monetized_1","Relative Coartem disp only",4
2007,0,0,156061650.005058,-156061650.005058,"dalys_monetized_1","Relative Coartem disp only",4
2008,0,0,104671769.084416,-104671769.084416,"dalys_monetized_1","Relative Coartem disp only",4
2009,0,0,76188062.9033656,-76188062.9033656,"dalys_monetized_1","Relative Coartem disp only",4
2010,0,0,103364593.393778,-103364593.393778,"dalys_monetized_1","Relative Coartem disp only",4
2011,1215747072.17738,0,114140481.986052,-1329887554.16343,"dalys_monetized_1","Relative Coartem disp only",4
2012,1059294580.46392,2968803660.27264,90994414.2238533,1818514665.58487,"dalys_monetized_1","Relative Coartem disp only",4
2013,902436226.952103,3315568107.58188,94857613.7222628,2318274266.90751,"dalys_monetized_1","Relative Coartem disp only",4
2014,1143899148.38792,15035807103.5172,111352327.276237,13780555627.853,"dalys_monetized_1","Relative Coartem disp only",4
2015,1020534915.65987,12034832080.6341,119387688.97028,10894909476.004,"dalys_monetized_1","Relative Coartem disp only",4
2016,1318420192.07192,19312662246.6961,98020185.9664466,17896221868.6577,"dalys_monetized_1","Relative Coartem disp only",4
2017,1801123730.98739,22053780446.2972,94359045.5684168,20158297669.7414,"dalys_monetized_1","Relative Coartem disp only",4
2018,1345368047.60181,25876328239.0659,80654851.9945019,24450305339.4696,"dalys_monetized_1","Relative Coartem disp only",4
2019,1497029463.807,27861905000.0971,84146233.3138799,26280729302.9763,"dalys_monetized_1","Relative Coartem disp only",4
2020,1963815835.0914,35407567859.9332,97630142.335856,33346121882.5059,"dalys_monetized_1","Relative Coartem disp only",4
2021,2631670126.55182,46250654051.3714,90669963.93291,43528313960.8866,"dalys_monetized_1","Relative Coartem disp only",4
2022,0,49300609553.6135,73180104,49227429449.6135,"dalys_monetized_1","Relative Coartem disp only",4
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Relative Coartem disp only",5
2001,0,0,44971604.9464951,-44971604.9464951,"dalys_monetized_1","Relative Coartem disp only",5
2002,0,0,29197993.3498014,-29197993.3498014,"dalys_monetized_1","Relative Coartem disp only",5
2003,0,0,55058570.8367679,-55058570.8367679,"dalys_monetized_1","Relative Coartem disp only",5
2004,0,0,68448230.7639059,-68448230.7639059,"dalys_monetized_1","Relative Coartem disp only",5
2005,0,0,102358034.746129,-102358034.746129,"dalys_monetized_1","Relative Coartem disp only",5
2006,0,0,63741152.1534097,-63741152.1534097,"dalys_monetized_1","Relative Coartem disp only",5
2007,0,0,156061650.005058,-156061650.005058,"dalys_monetized_1","Relative Coartem disp only",5
2008,0,0,104671769.084416,-104671769.084416,"dalys_monetized_1","Relative Coartem disp only",5
2009,0,0,76188062.9033656,-76188062.9033656,"dalys_monetized_1","Relative Coartem disp only",5
2010,0,0,103364593.393778,-103364593.393778,"dalys_monetized_1","Relative Coartem disp only",5
2011,1052611245.71806,0,114140481.986052,-1166751727.70411,"dalys_monetized_1","Relative Coartem disp only",5
2012,1267442030.18669,2968803660.27264,90994414.2238533,1610367215.86209,"dalys_monetized_1","Relative Coartem disp only",5
2013,834813638.238574,3315568107.58188,94857613.7222628,2385896855.62104,"dalys_monetized_1","Relative Coartem disp only",5
2014,961797399.329336,15035807103.5172,111352327.276237,13962657376.9116,"dalys_monetized_1","Relative Coartem disp only",5
2015,874228478.747048,12034832080.6341,119387688.97028,11041215912.9168,"dalys_monetized_1","Relative Coartem disp only",5
2016,1026285308.03387,19312662246.6961,98020185.9664466,18188356752.6958,"dalys_monetized_1","Relative Coartem disp only",5
2017,1748999758.25647,22053780446.2972,94359045.5684168,20210421642.4724,"dalys_monetized_1","Relative Coartem disp only",5
2018,1675656464.23025,25876328239.0659,80654851.9945019,24120016922.8412,"dalys_monetized_1","Relative Coartem disp only",5
2019,1467461427.90942,27861905000.0971,84146233.3138799,26310297338.8738,"dalys_monetized_1","Relative Coartem disp only",5
2020,2198930042.05606,35407567859.9332,97630142.335856,33111007675.5413,"dalys_monetized_1","Relative Coartem disp only",5
2021,2923643604.77182,46250654051.3714,90669963.93291,43236340482.6666,"dalys_monetized_1","Relative Coartem disp only",5
2022,0,49300609553.6135,73180104,49227429449.6135,"dalys_monetized_1","Relative Coartem disp only",5
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Relative Coartem disp only",6
2001,0,0,44971604.9464951,-44971604.9464951,"dalys_monetized_1","Relative Coartem disp only",6
2002,0,0,29197993.3498014,-29197993.3498014,"dalys_monetized_1","Relative Coartem disp only",6
2003,0,0,55058570.8367679,-55058570.8367679,"dalys_monetized_1","Relative Coartem disp only",6
2004,0,0,68448230.7639059,-68448230.7639059,"dalys_monetized_1","Relative Coartem disp only",6
2005,0,0,102358034.746129,-102358034.746129,"dalys_monetized_1","Relative Coartem disp only",6
2006,0,0,63741152.1534097,-63741152.1534097,"dalys_monetized_1","Relative Coartem disp only",6
2007,0,0,156061650.005058,-156061650.005058,"dalys_monetized_1","Relative Coartem disp only",6
2008,0,0,104671769.084416,-104671769.084416,"dalys_monetized_1","Relative Coartem disp only",6
2009,0,0,76188062.9033656,-76188062.9033656,"dalys_monetized_1","Relative Coartem disp only",6
2010,0,0,103364593.393778,-103364593.393778,"dalys_monetized_1","Relative Coartem disp only",6
2011,1445429190.1899,0,114140481.986052,-1559569672.17596,"dalys_monetized_1","Relative Coartem disp only",6
2012,1516828094.0166,2968803660.27264,90994414.2238533,1360981152.03219,"dalys_monetized_1","Relative Coartem disp only",6
2013,982281225.131099,3315568107.58188,94857613.7222628,2238429268.72852,"dalys_monetized_1","Relative Coartem disp only",6
2014,1106167831.21444,15035807103.5172,111352327.276237,13818286945.0265,"dalys_monetized_1","Relative Coartem disp only",6
2015,1208113899.44094,12034832080.6341,119387688.97028,10707330492.2229,"dalys_monetized_1","Relative Coartem disp only",6
2016,901231259.75355,19312662246.6961,98020185.9664466,18313410800.9761,"dalys_monetized_1","Relative Coartem disp only",6
2017,1587031577.65421,22053780446.2972,94359045.5684168,20372389823.0746,"dalys_monetized_1","Relative Coartem disp only",6
2018,1685117636.47595,25876328239.0659,80654851.9945019,24110555750.5955,"dalys_monetized_1","Relative Coartem disp only",6
2019,1274296892.87266,27861905000.0971,84146233.3138799,26503461873.9106,"dalys_monetized_1","Relative Coartem disp only",6
2020,2596230554.77122,35407567859.9332,97630142.335856,32713707162.8261,"dalys_monetized_1","Relative Coartem disp only",6
2021,2521831269.06757,46250654051.3714,90669963.93291,43638152818.3709,"dalys_monetized_1","Relative Coartem disp only",6
2022,0,49300609553.6135,73180104,49227429449.6135,"dalys_monetized_1","Relative Coartem disp only",6
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Relative Coartem disp only",7
2001,0,0,44971604.9464951,-44971604.9464951,"dalys_monetized_1","Relative Coartem disp only",7
2002,0,0,29197993.3498014,-29197993.3498014,"dalys_monetized_1","Relative Coartem disp only",7
2003,0,0,55058570.8367679,-55058570.8367679,"dalys_monetized_1","Relative Coartem disp only",7
2004,0,0,68448230.7639059,-68448230.7639059,"dalys_monetized_1","Relative Coartem disp only",7
2005,0,0,102358034.746129,-102358034.746129,"dalys_monetized_1","Relative Coartem disp only",7
2006,0,0,63741152.1534097,-63741152.1534097,"dalys_monetized_1","Relative Coartem disp only",7
2007,0,0,156061650.005058,-156061650.005058,"dalys_monetized_1","Relative Coartem disp only",7
2008,0,0,104671769.084416,-104671769.084416,"dalys_monetized_1","Relative Coartem disp only",7
2009,0,0,76188062.9033656,-76188062.9033656,"dalys_monetized_1","Relative Coartem disp only",7
2010,0,0,103364593.393778,-103364593.393778,"dalys_monetized_1","Relative Coartem disp only",7
2011,973229953.230168,0,114140481.986052,-1087370435.21622,"dalys_monetized_1","Relative Coartem disp only",7
2012,1227161047.3093,2968803660.27264,90994414.2238533,1650648198.73949,"dalys_monetized_1","Relative Coartem disp only",7
2013,875785410.748943,3315568107.58188,94857613.7222628,2344925083.11067,"dalys_monetized_1","Relative Coartem disp only",7
2014,1386707442.90564,15035807103.5172,111352327.276237,13537747333.3353,"dalys_monetized_1","Relative Coartem disp only",7
2015,980362601.46911,12034832080.6341,119387688.97028,10935081790.1947,"dalys_monetized_1","Relative Coartem disp only",7
2016,1036594172.31342,19312662246.6961,98020185.9664466,18178047888.4162,"dalys_monetized_1","Relative Coartem disp only",7
2017,1716049041.80795,22053780446.2972,94359045.5684168,20243372358.9209,"dalys_monetized_1","Relative Coartem disp only",7
2018,1241578867.89231,25876328239.0659,80654851.9945019,24554094519.1791,"dalys_monetized_1","Relative Coartem disp only",7
2019,1652622559.94418,27861905000.0971,84146233.3138799,26125136206.8391,"dalys_monetized_1","Relative Coartem disp only",7
2020,2508609293.26681,35407567859.9332,97630142.335856,32801328424.3305,"dalys_monetized_1","Relative Coartem disp only",7
2021,2323524681.61207,46250654051.3714,90669963.93291,43836459405.8264,"dalys_monetized_1","Relative Coartem disp only",7
2022,0,49300609553.6135,73180104,49227429449.6135,"dalys_monetized_1","Relative Coartem disp only",7
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Relative Coartem disp only",8
2001,0,0,44971604.9464951,-44971604.9464951,"dalys_monetized_1","Relative Coartem disp only",8
2002,0,0,29197993.3498014,-29197993.3498014,"dalys_monetized_1","Relative Coartem disp only",8
2003,0,0,55058570.8367679,-55058570.8367679,"dalys_monetized_1","Relative Coartem disp only",8
2004,0,0,68448230.7639059,-68448230.7639059,"dalys_monetized_1","Relative Coartem disp only",8
2005,0,0,102358034.746129,-102358034.746129,"dalys_monetized_1","Relative Coartem disp only",8
2006,0,0,63741152.1534097,-63741152.1534097,"dalys_monetized_1","Relative Coartem disp only",8
2007,0,0,156061650.005058,-156061650.005058,"dalys_monetized_1","Relative Coartem disp only",8
