"year","health_systems_costs","monetized_dalys_averted","in_2022_prices","cash_flow","method","p","run_id"
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Relative_All AL disp",1
2001,0,0,44971604.9464951,-44971604.9464951,"dalys_monetized_1","Relative_All AL disp",1
2002,0,0,29197993.3498014,-29197993.3498014,"dalys_monetized_1","Relative_All AL disp",1
2003,0,0,55058570.8367679,-55058570.8367679,"dalys_monetized_1","Relative_All AL disp",1
2004,0,0,68448230.7639059,-68448230.7639059,"dalys_monetized_1","Relative_All AL disp",1
2005,0,0,102358034.746129,-102358034.746129,"dalys_monetized_1","Relative_All AL disp",1
2006,0,0,63741152.1534097,-63741152.1534097,"dalys_monetized_1","Relative_All AL disp",1
2007,0,0,156061650.005058,-156061650.005058,"dalys_monetized_1","Relative_All AL disp",1
2008,0,0,104671769.084416,-104671769.084416,"dalys_monetized_1","Relative_All AL disp",1
2009,0,0,76188062.9033656,-76188062.9033656,"dalys_monetized_1","Relative_All AL disp",1
2010,0,0,103364593.393778,-103364593.393778,"dalys_monetized_1","Relative_All AL disp",1
2011,1347059994.84837,0,114140481.986052,-1461200476.83442,"dalys_monetized_1","Relative_All AL disp",1
2012,1130111042.99534,2968803660.27264,90994414.2238533,1747698203.05344,"dalys_monetized_1","Relative_All AL disp",1
2013,973817682.448828,3315568107.58188,94857613.7222628,2246892811.41079,"dalys_monetized_1","Relative_All AL disp",1
2014,1189303282.51371,15035807103.5172,111352327.276237,13735151493.7272,"dalys_monetized_1","Relative_All AL disp",1
2015,1140765539.63545,12034832080.6341,119387688.97028,10774678852.0284,"dalys_monetized_1","Relative_All AL disp",1
2016,980155720.954521,19312662246.6961,98020185.9664466,18234486339.7751,"dalys_monetized_1","Relative_All AL disp",1
2017,1746832788.59933,22053780446.2972,94359045.5684168,20212588612.1295,"dalys_monetized_1","Relative_All AL disp",1
2018,1569847807.50401,25876328239.0659,80654851.9945019,24225825579.5674,"dalys_monetized_1","Relative_All AL disp",1
2019,1389289138.95017,27861905000.0971,84146233.3138799,26388469627.8331,"dalys_monetized_1","Relative_All AL disp",1
2020,2558587183.13774,35407567859.9332,97630142.335856,32751350534.4596,"dalys_monetized_1","Relative_All AL disp",1
2021,2343802956.30811,46250654051.3714,90669963.93291,43816181131.1303,"dalys_monetized_1","Relative_All AL disp",1
2022,0,49300609553.6135,73180104,49227429449.6135,"dalys_monetized_1","Relative_All AL disp",1
2000,0,0,26798482.7252633,-26798482.7252633,"dalys_monetized_1","Relative_All AL disp",2
