"run_id","p","method","year","health_systems_costs_by_run","monetized_dalys_averted_by_run","cash_flow_by_run","investment_by_run"
1,"Absolute All AL disp","dalys_monetized_1",2000,0,0,-26798482.7252633,26798482.7252633
1,"Absolute All AL disp","dalys_monetized_1",2001,0,0,-44971604.9464951,44971604.9464951
1,"Absolute All AL disp","dalys_monetized_1",2002,0,0,-29197993.3498014,29197993.3498014
1,"Absolute All AL disp","dalys_monetized_1",2003,0,0,-55058570.8367679,55058570.8367679
1,"Absolute All AL disp","dalys_monetized_1",2004,0,0,-68448230.7639059,68448230.7639059
1,"Absolute All AL disp","dalys_monetized_1",2005,0,0,-102358034.746129,102358034.746129
1,"Absolute All AL disp","dalys_monetized_1",2006,0,0,-63741152.1534097,63741152.1534097
1,"Absolute All AL disp","dalys_monetized_1",2007,0,0,-156061650.005058,156061650.005058
1,"Absolute All AL disp","dalys_monetized_1",2008,0,0,-104671769.084416,104671769.084416
1,"Absolute All AL disp","dalys_monetized_1",2009,0,0,-76188062.9033656,76188062.9033656
1,"Absolute All AL disp","dalys_monetized_1",2010,0,0,-103364593.393778,103364593.393778
1,"Absolute All AL disp","dalys_monetized_1",2011,1482178200.73959,56132954075.2117,54536635392.486,114140481.986052
1,"Absolute All AL disp","dalys_monetized_1",2012,1229136942.30735,68223241991.7724,66903110635.2412,90994414.2238533
1,"Absolute All AL disp","dalys_monetized_1",2013,1217730427.93397,49938770800.1225,48626182758.4662,94857613.7222628
1,"Absolute All AL disp","dalys_monetized_1",2014,1202575945.7656,182988058916.635,181674130643.593,111352327.276237
1,"Absolute All AL disp","dalys_monetized_1",2015,999496074.117704,179489261290.882,178370377527.794,119387688.97028
1,"Absolute All AL disp","dalys_monetized_1",2016,1006498541.63613,182586948626.31,181482429898.707,98020185.9664466
1,"Absolute All AL disp","dalys_monetized_1",2017,1793309023.84194,259395579630.837,257507911561.426,94359045.5684168
1,"Absolute All AL disp","dalys_monetized_1",2018,1737047135.97533,260460163048.061,258642461060.091,80654851.9945019
1,"Absolute All AL disp","dalys_monetized_1",2019,1644684634.15987,230134083349.161,228405252481.687,84146233.3138799
1,"Absolute All AL disp","dalys_monetized_1",2020,2975845812.15373,325213628988.768,322140153034.279,97630142.335856
1,"Absolute All AL disp","dalys_monetized_1",2021,2577150607.76516,362730251317.391,360062430745.693,90669963.93291
1,"Absolute All AL disp","dalys_monetized_1",2022,0,397598834165.828,397525654061.828,73180104
1,"Absolute Coartem disp only","dalys_monetized_1",2000,0,0,-26798482.7252633,26798482.7252633
1,"Absolute Coartem disp only","dalys_monetized_1",2001,0,0,-44971604.9464951,44971604.9464951
1,"Absolute Coartem disp only","dalys_monetized_1",2002,0,0,-29197993.3498014,29197993.3498014
1,"Absolute Coartem disp only","dalys_monetized_1",2003,0,0,-55058570.8367679,55058570.8367679
1,"Absolute Coartem disp only","dalys_monetized_1",2004,0,0,-68448230.7639059,68448230.7639059
1,"Absolute Coartem disp only","dalys_monetized_1",2005,0,0,-102358034.746129,102358034.746129
1,"Absolute Coartem disp only","dalys_monetized_1",2006,0,0,-63741152.1534097,63741152.1534097
1,"Absolute Coartem disp only","dalys_monetized_1",2007,0,0,-156061650.005058,156061650.005058
1,"Absolute Coartem disp only","dalys_monetized_1",2008,0,0,-104671769.084416,104671769.084416
1,"Absolute Coartem disp only","dalys_monetized_1",2009,0,0,-76188062.9033656,76188062.9033656
1,"Absolute Coartem disp only","dalys_monetized_1",2010,0,0,-103364593.393778,103364593.393778
1,"Absolute Coartem disp only","dalys_monetized_1",2011,1458642530.48459,56132954075.2117,54560171062.741,114140481.986052
1,"Absolute Coartem disp only","dalys_monetized_1",2012,973237420.190604,68223241991.7724,67159010157.358,90994414.2238533
1,"Absolute Coartem disp only","dalys_monetized_1",2013,871330421.821895,48188145089.8207,47221957054.2766,94857613.7222628
1,"Absolute Coartem disp only","dalys_monetized_1",2014,1037348656.88562,175409644145.079,174260943160.917,111352327.276237
1,"Absolute Coartem disp only","dalys_monetized_1",2015,971470173.822815,168956207677.501,167865349814.708,119387688.97028
1,"Absolute Coartem disp only","dalys_monetized_1",2016,1181652717.90765,182586948626.31,181307275722.435,98020185.9664466
1,"Absolute Coartem disp only","dalys_monetized_1",2017,1471890658.238,245167498012.885,243601248309.079,94359045.5684168
1,"Absolute Coartem disp only","dalys_monetized_1",2018,1512218238.02568,247919091311.929,246326218221.908,80654851.9945019
1,"Absolute Coartem disp only","dalys_monetized_1",2019,1601271055.47764,227618183766.145,225932766477.354,84146233.3138799
1,"Absolute Coartem disp only","dalys_monetized_1",2020,2686134420.65745,301817484912.602,299033720349.609,97630142.335856
1,"Absolute Coartem disp only","dalys_monetized_1",2021,1872029390.83788,348028619599.649,346065920244.878,90669963.93291
1,"Absolute Coartem disp only","dalys_monetized_1",2022,0,388377454992.885,388304274888.885,73180104
1,"Relative Coartem disp only","dalys_monetized_1",2000,0,0,-26798482.7252633,26798482.7252633
1,"Relative Coartem disp only","dalys_monetized_1",2001,0,0,-44971604.9464951,44971604.9464951
1,"Relative Coartem disp only","dalys_monetized_1",2002,0,0,-29197993.3498014,29197993.3498014
1,"Relative Coartem disp only","dalys_monetized_1",2003,0,0,-55058570.8367679,55058570.8367679
1,"Relative Coartem disp only","dalys_monetized_1",2004,0,0,-68448230.7639059,68448230.7639059
1,"Relative Coartem disp only","dalys_monetized_1",2005,0,0,-102358034.746129,102358034.746129
1,"Relative Coartem disp only","dalys_monetized_1",2006,0,0,-63741152.1534097,63741152.1534097
