"year","health_systems_costs","monetized_dalys_averted","in_2023_prices","cash_flow","run_id"
2000,0,0,29852923.0011034,-29852923.0011034,1
2001,0,0,50108598.4343931,-50108598.4343931,1
2002,0,0,32524926.5109877,-32524926.5109877,1
2003,0,0,61183848.4315702,-61183848.4315702,1
2004,0,0,76280271.9680802,-76280271.9680802,1
2005,0,0,114095421.233847,-114095421.233847,1
2006,0,0,71055328.531221,-71055328.531221,1
2007,0,0,173925704.21992,-173925704.21992,1
2008,0,0,118242843.004781,-118242843.004781,1
2009,0,0,85861724.9480041,-85861724.9480041,1
2010,0,0,116044460.205488,-116044460.205488,1
2011,1284934601.1404,0,128294997.271244,-1413229598.41165,1
2012,1173910526.40025,3889699179.71493,103748180.04707,2612040473.2676,1
2013,1162581441.03523,4207103133.1034,106873147.128942,2937648544.93923,1
2014,979291462.330012,16652362565.641,126230106.011086,15546840997.2999,1
2015,927339493.226796,13167022931.8157,135116138.984205,12104567299.6047,1
2016,823305371.188406,22457446972.1743,97182201.0538521,21536959399.9321,1
2017,1755559570.60052,25552843573.0726,120315216.056736,23676968786.4153,1
2018,1422783733.9837,30214225478.3557,89798807.4848151,28701642936.8872,1
2019,1194244983.98395,32723474934.0128,93514565.4752602,31435715384.5536,1
2020,2705856249.50172,43201238492.7344,108765448.735646,40386616794.497,1
2021,1772274112.33965,54696124607.9623,100845446.198309,52823005049.4243,1
2022,1569599514.47602,51468449817.0474,81301804.902422,49817548497.669,1
2023,2409945634.49037,48264530586.1085,77988063,45776596888.6181,1
2000,0,0,29852923.0011034,-29852923.0011034,2
2001,0,0,50108598.4343931,-50108598.4343931,2
2002,0,0,32524926.5109877,-32524926.5109877,2
2003,0,0,61183848.4315702,-61183848.4315702,2
2004,0,0,76280271.9680802,-76280271.9680802,2
2005,0,0,114095421.233847,-114095421.233847,2
2006,0,0,71055328.531221,-71055328.531221,2
2007,0,0,173925704.21992,-173925704.21992,2
2008,0,0,118242843.004781,-118242843.004781,2
2009,0,0,85861724.9480041,-85861724.9480041,2
2010,0,0,116044460.205488,-116044460.205488,2
2011,1170736112.33268,0,128294997.271244,-1299031109.60392,2
2012,1083229399.17828,3889699179.71493,103748180.04707,2702721600.48958,2
2013,861951347.102052,4207103133.1034,106873147.128942,3238278638.8724,2
2014,968200962.892406,16652362565.641,126230106.011086,15557931496.7375,2
2015,936468165.95121,13167022931.8157,135116138.984205,12095438626.8803,2
2016,1029955209.70705,22457446972.1743,97182201.0538521,21330309561.4134,2
2017,1457667636.23172,25552843573.0726,120315216.056736,23974860720.7841,2
2018,1401484086.66762,30214225478.3557,89798807.4848151,28722942584.2032,2
2019,1283492977.26682,32723474934.0128,93514565.4752602,31346467391.2707,2
2020,1991470962.20827,43201238492.7344,108765448.735646,41101002081.7905,2
2021,2421025611.77323,54696124607.9623,100845446.198309,52174253549.9907,2
2022,2680568363.65691,51468449817.0474,81301804.902422,48706579648.4881,2
2023,3067470779.0211,48264530586.1085,77988063,45119071744.0874,2
2000,0,0,29852923.0011034,-29852923.0011034,3
2001,0,0,50108598.4343931,-50108598.4343931,3
2002,0,0,32524926.5109877,-32524926.5109877,3
2003,0,0,61183848.4315702,-61183848.4315702,3
2004,0,0,76280271.9680802,-76280271.9680802,3
2005,0,0,114095421.233847,-114095421.233847,3
2006,0,0,71055328.531221,-71055328.531221,3
2007,0,0,173925704.21992,-173925704.21992,3
2008,0,0,118242843.004781,-118242843.004781,3
2009,0,0,85861724.9480041,-85861724.9480041,3
2010,0,0,116044460.205488,-116044460.205488,3
2011,1179398826.72529,0,128294997.271244,-1307693823.99653,3
2012,1201060875.28888,3889699179.71493,103748180.04707,2584890124.37898,3
2013,920242939.057344,4207103133.1034,106873147.128942,3179987046.91711,3
2014,1130516658.80594,16652362565.641,126230106.011086,15395615800.824,3
2015,1006457779.99459,13167022931.8157,135116138.984205,12025449012.8369,3
2016,989811821.195211,22457446972.1743,97182201.0538521,21370452949.9253,3
2017,1296479039.09947,25552843573.0726,120315216.056736,24136049317.9164,3
2018,1350043270.1583,30214225478.3557,89798807.4848151,28774383400.7126,3
2019,1345276396.68656,32723474934.0128,93514565.4752602,31284683971.851,3
2020,2326213288.15327,43201238492.7344,108765448.735646,40766259755.8455,3
2021,2231265994.07629,54696124607.9623,100845446.198309,52364013167.6877,3
2022,1971228582.8272,51468449817.0474,81301804.902422,49415919429.3178,3
2023,2483339831.09856,48264530586.1085,77988063,45703202692.0099,3
2000,0,0,29852923.0011034,-29852923.0011034,4
2001,0,0,50108598.4343931,-50108598.4343931,4
2002,0,0,32524926.5109877,-32524926.5109877,4
2003,0,0,61183848.4315702,-61183848.4315702,4
2004,0,0,76280271.9680802,-76280271.9680802,4
2005,0,0,114095421.233847,-114095421.233847,4
2006,0,0,71055328.531221,-71055328.531221,4
2007,0,0,173925704.21992,-173925704.21992,4
2008,0,0,118242843.004781,-118242843.004781,4
2009,0,0,85861724.9480041,-85861724.9480041,4
2010,0,0,116044460.205488,-116044460.205488,4
2011,1067461888.48008,0,128294997.271244,-1195756885.75132,4
2012,1315770818.13538,3889699179.71493,103748180.04707,2470180181.53248,4
2013,979964037.075426,4207103133.1034,106873147.128942,3120265948.89903,4
2014,892703459.778985,16652362565.641,126230106.011086,15633428999.8509,4
2015,834173375.953918,13167022931.8157,135116138.984205,12197733416.8776,4
2016,935935737.782432,22457446972.1743,97182201.0538521,21424329033.338,4
2017,1232430878.89032,25552843573.0726,120315216.056736,24200097478.1255,4
2018,1147240049.39428,30214225478.3557,89798807.4848151,28977186621.4766,4
2019,1268467920.48329,32723474934.0128,93514565.4752602,31361492448.0542,4
2020,2195303348.02588,43201238492.7344,108765448.735646,40897169695.9729,4
2021,1965360825.29906,54696124607.9623,100845446.198309,52629918336.4649,4
2022,1723760599.0198,51468449817.0474,81301804.902422,49663387413.1252,4
2023,1958761549.54106,48264530586.1085,77988063,46227780973.5674,4
2000,0,0,29852923.0011034,-29852923.0011034,5
2001,0,0,50108598.4343931,-50108598.4343931,5
2002,0,0,32524926.5109877,-32524926.5109877,5
2003,0,0,61183848.4315702,-61183848.4315702,5
2004,0,0,76280271.9680802,-76280271.9680802,5
2005,0,0,114095421.233847,-114095421.233847,5
2006,0,0,71055328.531221,-71055328.531221,5
2007,0,0,173925704.21992,-173925704.21992,5
2008,0,0,118242843.004781,-118242843.004781,5
2009,0,0,85861724.9480041,-85861724.9480041,5
2010,0,0,116044460.205488,-116044460.205488,5
2011,1361891331.16075,0,128294997.271244,-1490186328.432,5
2012,1069622072.1159,3889699179.71493,103748180.04707,2716328927.55196,5
2013,1248157136.8687,4207103133.1034,106873147.128942,2852072849.10575,5
2014,1012613625.52806,16652362565.641,126230106.011086,15513518834.1019,5
2015,856973619.624475,13167022931.8157,135116138.984205,12174933173.207,5
2016,1001237850.62311,22457446972.1743,97182201.0538521,21359026920.4974,5
2017,1517446082.9171,25552843573.0726,120315216.056736,23915082274.0987,5
2018,1191547578.19995,30214225478.3557,89798807.4848151,28932879092.6709,5
2019,1708265070.05316,32723474934.0128,93514565.4752602,30921695298.4844,5
2020,2199316202.92693,43201238492.7344,108765448.735646,40893156841.0718,5
2021,2034368610.19149,54696124607.9623,100845446.198309,52560910551.5725,5
2022,1701238832.38974,51468449817.0474,81301804.902422,49685909179.7553,5
2023,2327313194.1783,48264530586.1085,77988063,45859229328.9302,5
2000,0,0,29852923.0011034,-29852923.0011034,6
2001,0,0,50108598.4343931,-50108598.4343931,6
2002,0,0,32524926.5109877,-32524926.5109877,6
2003,0,0,61183848.4315702,-61183848.4315702,6
2004,0,0,76280271.9680802,-76280271.9680802,6
2005,0,0,114095421.233847,-114095421.233847,6
2006,0,0,71055328.531221,-71055328.531221,6
2007,0,0,173925704.21992,-173925704.21992,6
2008,0,0,118242843.004781,-118242843.004781,6
2009,0,0,85861724.9480041,-85861724.9480041,6
2010,0,0,116044460.205488,-116044460.205488,6
2011,1393261936.00757,0,128294997.271244,-1521556933.27882,6
2012,1034005437.73692,3889699179.71493,103748180.04707,2751945561.93094,6
2013,882222520.489072,4207103133.1034,106873147.128942,3218007465.48538,6
2014,1108069238.4671,16652362565.641,126230106.011086,15418063221.1628,6
2015,911003098.254812,13167022931.8157,135116138.984205,12120903694.5767,6
2016,944256050.457851,22457446972.1743,97182201.0538521,21416008720.6626,6
2017,1579851443.083,25552843573.0726,120315216.056736,23852676913.9328,6
2018,1328052228.23682,30214225478.3557,89798807.4848151,28796374442.634,6
2019,1195933522.01571,32723474934.0128,93514565.4752602,31434026846.5218,6
2020,2406537765.08452,43201238492.7344,108765448.735646,40685935278.9142,6
2021,2446719852.02634,54696124607.9623,100845446.198309,52148559309.7376,6
2022,2181099434.68893,51468449817.0474,81301804.902422,49206048577.4561,6
2023,2547641275.45602,48264530586.1085,77988063,45638901247.6525,6
2000,0,0,29852923.0011034,-29852923.0011034,7
2001,0,0,50108598.4343931,-50108598.4343931,7
2002,0,0,32524926.5109877,-32524926.5109877,7
2003,0,0,61183848.4315702,-61183848.4315702,7
2004,0,0,76280271.9680802,-76280271.9680802,7
2005,0,0,114095421.233847,-114095421.233847,7
2006,0,0,71055328.531221,-71055328.531221,7
2007,0,0,173925704.21992,-173925704.21992,7
2008,0,0,118242843.004781,-118242843.004781,7
2009,0,0,85861724.9480041,-85861724.9480041,7
2010,0,0,116044460.205488,-116044460.205488,7
2011,1214145702.05629,0,128294997.271244,-1342440699.32753,7
2012,1064908786.37149,3889699179.71493,103748180.04707,2721042213.29637,7
2013,986445588.452167,4207103133.1034,106873147.128942,3113784397.52229,7
2014,1023524270.59385,16652362565.641,126230106.011086,15502608189.0361,7
2015,876561129.771362,13167022931.8157,135116138.984205,12155345663.0602,7
2016,1048246475.65399,22457446972.1743,97182201.0538521,21312018295.4665,7
2017,1302736968.7407,25552843573.0726,120315216.056736,24129791388.2751,7
2018,1193215448.34585,30214225478.3557,89798807.4848151,28931211222.525,7
2019,1586699383.85442,32723474934.0128,93514565.4752602,31043260984.6831,7
2020,2124006179.94221,43201238492.7344,108765448.735646,40968466864.0565,7
2021,1796124154.14675,54696124607.9623,100845446.198309,52799155007.6172,7
2022,1908877850.41147,51468449817.0474,81301804.902422,49478270161.7336,7
2023,2566053793.16978,48264530586.1085,77988063,45620488729.9387,7
2000,0,0,29852923.0011034,-29852923.0011034,8
2001,0,0,50108598.4343931,-50108598.4343931,8
2002,0,0,32524926.5109877,-32524926.5109877,8
2003,0,0,61183848.4315702,-61183848.4315702,8
2004,0,0,76280271.9680802,-76280271.9680802,8
2005,0,0,114095421.233847,-114095421.233847,8
2006,0,0,71055328.531221,-71055328.531221,8
2007,0,0,173925704.21992,-173925704.21992,8
2008,0,0,118242843.004781,-118242843.004781,8
2009,0,0,85861724.9480041,-85861724.9480041,8
2010,0,0,116044460.205488,-116044460.205488,8
2011,1348891717.20549,0,128294997.271244,-1477186714.47673,8
2012,1345478997.85057,3889699179.71493,103748180.04707,2440472001.81728,8
2013,1155886460.56413,4207103133.1034,106873147.128942,2944343525.41032,8
2014,1101307814.2915,16652362565.641,126230106.011086,15424824645.3384,8
2015,801719203.620875,13167022931.8157,135116138.984205,12230187589.2106,8
2016,1055836986.56251,22457446972.1743,97182201.0538521,21304427784.558,8
2017,1471854778.58849,25552843573.0726,120315216.056736,23960673578.4274,8
2018,1151757747.04779,30214225478.3557,89798807.4848151,28972668923.8231,8
2019,1022521319.11763,32723474934.0128,93514565.4752602,31607439049.4199,8
2020,1865516856.28506,43201238492.7344,108765448.735646,41226956187.7137,8
2021,2021785618.82078,54696124607.9623,100845446.198309,52573493542.9432,8
2022,2135235657.06814,51468449817.0474,81301804.902422,49251912355.0769,8
2023,2271326070.99506,48264530586.1085,77988063,45915216452.1134,8
2000,0,0,29852923.0011034,-29852923.0011034,9
2001,0,0,50108598.4343931,-50108598.4343931,9
2002,0,0,32524926.5109877,-32524926.5109877,9
2003,0,0,61183848.4315702,-61183848.4315702,9
2004,0,0,76280271.9680802,-76280271.9680802,9
2005,0,0,114095421.233847,-114095421.233847,9
2006,0,0,71055328.531221,-71055328.531221,9
2007,0,0,173925704.21992,-173925704.21992,9
2008,0,0,118242843.004781,-118242843.004781,9
2009,0,0,85861724.9480041,-85861724.9480041,9
2010,0,0,116044460.205488,-116044460.205488,9
2011,1563229759.12262,0,128294997.271244,-1691524756.39386,9
2012,987316351.281116,3889699179.71493,103748180.04707,2798634648.38674,9
2013,903788371.349803,4207103133.1034,106873147.128942,3196441614.62465,9
2014,1104684252.93442,16652362565.641,126230106.011086,15421448206.6955,9
2015,807316730.355058,13167022931.8157,135116138.984205,12224590062.4765,9
2016,1113481292.12125,22457446972.1743,97182201.0538521,21246783478.9992,9
2017,1459076297.76728,25552843573.0726,120315216.056736,23973452059.2486,9
2018,1317213840.5205,30214225478.3557,89798807.4848151,28807212830.3504,9
2019,1489542763.20598,32723474934.0128,93514565.4752602,31140417605.3315,9
2020,2171196328.5002,43201238492.7344,108765448.735646,40921276715.4986,9
2021,2302113700.28563,54696124607.9623,100845446.198309,52293165461.4783,9
2022,2379355130.93861,51468449817.0474,81301804.902422,49007792881.2064,9
2023,2171482467.17722,48264530586.1085,77988063,46015060055.9313,9
2000,0,0,29852923.0011034,-29852923.0011034,10
2001,0,0,50108598.4343931,-50108598.4343931,10
2002,0,0,32524926.5109877,-32524926.5109877,10
2003,0,0,61183848.4315702,-61183848.4315702,10
2004,0,0,76280271.9680802,-76280271.9680802,10
2005,0,0,114095421.233847,-114095421.233847,10
2006,0,0,71055328.531221,-71055328.531221,10
2007,0,0,173925704.21992,-173925704.21992,10
2008,0,0,118242843.004781,-118242843.004781,10
2009,0,0,85861724.9480041,-85861724.9480041,10
2010,0,0,116044460.205488,-116044460.205488,10
2011,1167312065.27088,0,128294997.271244,-1295607062.54212,10
2012,1345894470.94279,3889699179.71493,103748180.04707,2440056528.72506,10
2013,905104983.297974,4207103133.1034,106873147.128942,3195125002.67648,10
2014,1009357024.42232,16652362565.641,126230106.011086,15516775435.2076,10
2015,1049520393.46594,13167022931.8157,135116138.984205,11982386399.3656,10
2016,900506831.928094,22457446972.1743,97182201.0538521,21459757939.1924,10
2017,1532625300.36241,25552843573.0726,120315216.056736,23899903056.6534,10
2018,1375607063.17876,30214225478.3557,89798807.4848151,28748819607.6921,10
2019,1337712553.55031,32723474934.0128,93514565.4752602,31292247814.9872,10
2020,2402103293.8492,43201238492.7344,108765448.735646,40690369750.1496,10
2021,1639707149.51082,54696124607.9623,100845446.198309,52955572012.2532,10
2022,2424737465.00553,51468449817.0474,81301804.902422,48962410547.1395,10
2023,2128869610.26199,48264530586.1085,77988063,46057672912.8465,10
2000,0,0,29852923.0011034,-29852923.0011034,11
2001,0,0,50108598.4343931,-50108598.4343931,11
2002,0,0,32524926.5109877,-32524926.5109877,11
2003,0,0,61183848.4315702,-61183848.4315702,11
2004,0,0,76280271.9680802,-76280271.9680802,11
2005,0,0,114095421.233847,-114095421.233847,11
2006,0,0,71055328.531221,-71055328.531221,11
2007,0,0,173925704.21992,-173925704.21992,11
2008,0,0,118242843.004781,-118242843.004781,11
2009,0,0,85861724.9480041,-85861724.9480041,11
2010,0,0,116044460.205488,-116044460.205488,11
2011,1333036007.01162,0,128294997.271244,-1461331004.28286,11
2012,1077339588.51127,3889699179.71493,103748180.04707,2708611411.15659,11
2013,995679801.880591,4207103133.1034,106873147.128942,3104550184.09386,11
2014,1058717582.52308,16652362565.641,126230106.011086,15467414877.1068,11
2015,989733708.404829,13167022931.8157,135116138.984205,12042173084.4267,11
2016,899212562.116557,22457446972.1743,97182201.0538521,21461052209.0039,11
2017,1387953076.54091,25552843573.0726,120315216.056736,24044575280.4749,11
2018,1312474006.84144,30214225478.3557,89798807.4848151,28811952664.0294,11
2019,1456792511.66043,32723474934.0128,93514565.4752602,31173167856.8771,11
